rank,name,country_name,country_id,points,bestRank,bestRankDate,rankDiff,pointsDiff,bestPoints
1,Roger Federer,Switzerland,SUI,2532,1,2003-08-11,0,0,2550
2,Rafael Nadal,Spain,ESP,2311,1,2008-06-16,0,0,2552
3,Lleyton Hewitt,Australia,AUS,2153,1,2001-10-15,0,-1,2295
4,Fernando Gonzalez,Chile,CHI,2153,3,2006-10-23,0,0,2209
5,Andy Roddick,United States,USA,2153,1,2003-09-08,0,0,2274
6,James Blake,United States,USA,2147,4,2007-01-15,0,0,2164
7,David Nalbandian,Argentina,ARG,2146,3,2006-05-22,3,21,2196
8,Ivan Ljubicic,Croatia,CRO,2138,3,2006-03-31,-1,0,2206
9,Andre Agassi,United States,USA,2132,1,1995-03-24,0,-1,2376
10,Nikolay Davydenko,Russian Federation,RUS,2129,5,2008-04-21,-2,-6,2291
11,Mario Ancic,Croatia,CRO,2116,6,2006-09-11,0,0,2133
12,Tomas Berdych,Czech Republic,CZE,2108,5,2007-07-09,0,0,2263
13,Richard Gasquet,France,FRA,2079,9,2007-10-08,0,0,2196
14,Marat Safin,Russian Federation,RUS,2065,2,2000-09-18,0,-1,2218
15,Tommy Haas,Germany,GER,2064,2,2002-01-28,0,0,2189
16,Tommy Robredo,Spain,ESP,2053,10,2006-05-22,0,0,2107
17,Tim Henman,United Kingdom,GBR,2046,4,2002-04-12,0,0,2165
18,Novak Djokovic,Serbia,SRB,2045,1,2011-03-21,0,-1,2629
19,Radek Stepanek,Czech Republic,CZE,2045,10,2009-11-29,0,0,2136
20,Nicolas Kiefer,Germany,GER,2031,5,2000-02-14,0,-1,2135
21,Andy Murray,United Kingdom,GBR,2029,2,2009-04-19,0,0,2500
22,David Ferrer,Spain,ESP,2025,4,2007-11-19,0,0,2348
23,Marcos Baghdatis,Cyprus,CYP,2023,9,2007-08-20,0,0,2098
24,Olivier Rochus,Belgium,BEL,2011,18,2006-05-08,0,0,2035
25,Robin Soderling,Sweden,SWE,2010,4,2011-04-03,0,0,2271
26,Stan Wawrinka,Switzerland,SUI,2006,5,2014-02-17,0,0,2291
27,Mikhail Youzhny,Russian Federation,RUS,2006,9,2007-06-11,0,0,2122
28,Jarkko Nieminen,Finland,FIN,1997,19,2006-03-17,0,0,2034
29,Dominik Hrbaty,Slovakia,SVK,1994,15,2005-12-09,0,0,2085
30,Dmitry Tursunov,Russian Federation,RUS,1993,20,2006-10-02,0,0,2042
31,Agustin Calleri,Argentina,ARG,1987,19,2003-05-19,0,0,2043
32,Robby Ginepri,United States,USA,1984,15,2005-09-12,0,0,2057
33,Carlos Moya,Spain,ESP,1983,3,2002-12-06,0,0,2190
34,Sebastien Grosjean,France,FRA,1982,4,2003-01-27,0,0,2133
35,Juan Carlos Ferrero,Spain,ESP,1968,3,2003-06-09,0,0,2225
36,Arnaud Clement,France,FRA,1967,10,2001-01-29,0,0,2107
37,Joachim Johansson,Sweden,SWE,1964,10,2005-02-14,0,0,2074
38,Jurgen Melzer,Austria,AUT,1963,12,2011-01-31,1,0,2110
39,Xavier Malisse,Belgium,BEL,1963,24,2002-03-11,1,0,2035
40,Igor Andreev,Russian Federation,RUS,1958,17,2008-09-08,1,0,2062
41,Jose Acasuso,Argentina,ARG,1955,24,2006-08-14,-3,-9,2011
42,Nicolas Massu,Chile,CHI,1947,13,2003-10-20,0,0,2053
43,Fernando Verdasco,Spain,ESP,1944,7,2009-05-04,0,0,2204
44,Thomas Johansson,Sweden,SWE,1943,7,2002-02-15,1,0,2136
45,Taylor Dent,United States,USA,1942,16,2003-10-27,-1,-2,2040
46,Mardy Fish,United States,USA,1937,9,2011-08-21,0,0,2169
47,Guillermo Coria,Argentina,ARG,1937,2,2004-06-07,0,0,2229
48,Gaston Gaudio,Argentina,ARG,1936,8,2005-07-11,0,0,2137
49,Florian Mayer,Germany,GER,1931,22,2011-11-14,1,0,2044
50,Hyung Taik Lee,"Korea, Republic of",KOR,1930,38,2007-10-15,1,0,1964
51,Juan Ignacio Chela,Argentina,ARG,1930,15,2004-04-26,-2,-6,2049
52,Mark Philippoussis,Australia,AUS,1929,4,2000-03-20,0,0,2171
53,Filippo Volandri,Italy,ITA,1928,30,2007-06-18,0,0,1986
54,Max Mirnyi,Belarus,BLR,1927,20,2001-10-22,0,0,2041
55,Nicolas Almagro,Spain,ESP,1924,9,2012-07-23,0,0,2160
56,Gael Monfils,France,FRA,1924,7,2010-11-28,0,0,2189
57,Jiri Novak,Czech Republic,CZE,1924,6,2002-10-21,0,0,2112
58,Kristof Vliegen,Belgium,BEL,1924,37,2006-05-08,0,0,1961
59,Fabrice Santoro,France,FRA,1920,17,2001-08-06,0,0,2052
60,Paradorn Srichaphan,Thailand,THA,1919,9,2003-01-06,0,0,2103
61,Marc Gicquel,France,FRA,1916,44,2007-02-26,0,0,1938
62,Julien Benneteau,France,FRA,1898,25,2013-02-18,0,0,2027
63,Paul Henri Mathieu,France,FRA,1892,13,2007-08-12,0,0,2082
64,Greg Rusedski,United Kingdom,GBR,1891,3,1998-11-30,0,0,2178
65,Benjamin Becker,Germany,GER,1886,50,2015-02-02,0,0,1917
66,Stefan Koubek,Austria,AUT,1886,38,2000-03-06,0,0,1970
67,Jonas Bjorkman,Sweden,SWE,1883,3,1997-12-05,1,0,2174
68,Feliciano Lopez,Spain,ESP,1883,16,2014-10-12,1,0,2074
69,Ruben Ramirez Hidalgo,Spain,ESP,1878,61,2006-10-09,1,0,1896
70,Wesley Moodie,South Africa,RSA,1878,53,2005-10-10,1,0,1920
71,Nicolas Lapentti,Ecuador,ECU,1874,7,1999-11-08,1,0,2108
72,Florent Serra,France,FRA,1873,44,2010-04-18,1,0,1942
73,Philipp Kohlschreiber,Germany,GER,1869,14,2016-05-02,1,0,2117
74,Albert Costa,Spain,ESP,1862,4,1998-06-08,1,-1,2154
75,Mariano Zabaleta,Argentina,ARG,1859,22,2003-08-25,1,0,2027
76,Victor Hanescu,Romania,ROU,1857,41,2010-06-20,1,-1,1958
77,Ivo Karlovic,Croatia,CRO,1856,17,2007-11-04,2,0,2061
78,Younes El Aynaoui,Morocco,MAR,1855,13,2002-05-06,0,-1,2095
79,Irakli Labadze,Georgia,GEO,1853,76,2006-08-14,1,0,1872
80,Juan Monaco,Argentina,ARG,1850,12,2012-07-23,1,0,2125
81,Jan Hernych,Czech Republic,CZE,1849,68,2014-02-10,1,0,1882
82,Alberto Martin,Spain,ESP,1848,39,2001-05-28,1,0,1963
83,Andrei Pavel,Romania,ROU,1847,11,2004-05-17,1,0,2061
84,Gilles Simon,France,FRA,1846,9,2009-01-11,1,0,2124
85,Vincent Spadea,United States,USA,1846,20,1999-09-20,1,0,2034
86,Takao Suzuki,Japan,JPN,1846,71,2009-06-15,1,0,1860
87,Luis Horna,Peru,PER,1845,39,2004-10-25,1,0,1958
88,Kenneth Carlsen,Denmark,DEN,1830,49,1995-05-29,1,0,1944
89,Martin Vassallo Arguello,Argentina,ARG,1829,76,2009-04-19,1,0,1853
90,Daniele Bracciali,Italy,ITA,1828,79,2006-07-17,1,0,1864
91,Igor Kunitsyn,Russian Federation,RUS,1827,71,2008-10-19,1,0,1868
92,Ramon Delgado,Paraguay,PAR,1825,61,1998-11-09,2,0,1906
93,Vladimir Voltchkov,Belarus,BLR,1825,48,2001-02-26,0,0,1942
94,Juan Martin Del Potro,Argentina,ARG,1818,3,2010-06-07,1,0,2331
95,Cyril Saulnier,France,FRA,1816,41,2005-02-14,1,0,1961
96,Potito Starace,Italy,ITA,1816,46,2007-08-05,1,0,1937
97,Evgeny Korolev,Kazakhstan,KAZ,1816,53,2010-02-01,1,0,1907
98,Paul Goldstein,United States,USA,1813,57,2006-04-24,1,0,1906
99,Guillermo Garcia Lopez,Spain,ESP,1813,30,2014-06-09,1,0,2009
100,Michael Llodra,France,FRA,1812,31,2011-04-03,1,0,2012
101,Justin Gimelstob,United States,USA,1810,57,1998-08-03,1,0,1907
102,Wayne Arthurs,Australia,AUS,1809,45,2001-06-25,1,0,1948
103,Chris Guccione,Australia,AUS,1808,67,2007-01-15,1,-1,1884
104,Paul Capdeville,Chile,CHI,1808,71,2007-09-28,1,0,1869
105,Antony Dupuis,France,FRA,1800,70,2004-02-16,1,0,1878
106,Nicolas Mahut,France,FRA,1798,35,2016-10-10,1,0,1970
107,Danai Udomchoke,Thailand,THA,1798,89,2007-02-16,1,0,1840
108,Alejandro Falla,Colombia,COL,1796,61,2010-08-08,1,0,1888
109,Flavio Saretta,Brazil,BRA,1795,52,2003-09-08,1,0,1950
110,Marco Chiudinelli,Switzerland,SUI,1795,62,2009-11-09,1,0,1882
111,Denis Gremelmayr,Germany,GER,1794,66,2008-05-12,1,0,1882
112,Lukasz Kubot,Poland,POL,1792,52,2010-02-15,1,0,1916
113,Davide Sanguinetti,Italy,ITA,1791,50,2002-03-11,1,0,1938
114,Simon Greul,Germany,GER,1791,72,2010-03-22,1,0,1855
115,Albert Portas,Spain,ESP,1791,30,2001-05-21,1,0,1993
116,Oliver Marach,Austria,AUT,1789,110,2006-10-23,1,0,1798
117,Gilles Muller,Luxembourg,LUX,1789,18,2017-07-24,1,0,2098
118,Robert Kendrick,United States,USA,1787,103,2004-02-16,1,0,1831
119,Albert Montanes,Spain,ESP,1786,29,2010-07-19,1,0,2019
120,Jimmy Wang,"Taiwan, Province of China",TPE,1782,99,2008-08-04,2,0,1812
121,Peter Luczak,Australia,AUS,1782,99,2006-01-30,0,0,1817
122,Rainer Schuettler,Germany,GER,1780,8,2003-10-13,1,0,2123
123,Dusan Vemic,Serbia,SRB,1779,120,2007-01-29,1,0,1780
124,Andreas Seppi,Italy,ITA,1775,21,2015-08-03,1,0,2030
125,Noam Okun,Israel,ISR,1772,112,2004-09-30,1,-1,1820
126,Jean Julien Rojer,Netherlands,AHO,1771,126,2006-12-08,1,-1,1775
127,Frederico Gil,Portugal,POR,1770,60,2011-04-25,1,0,1896
128,Christophe Rochus,Belgium,BEL,1770,77,2009-06-08,1,0,1861
129,Raemon Sluiter,Netherlands,NED,1765,57,2003-02-24,1,0,1918
130,Alexander Waske,Germany,GER,1764,108,2005-10-17,1,0,1800
131,Kristian Pless,Denmark,DEN,1762,62,2001-10-08,1,0,1902
132,Teymuraz Gabashvili,Russian Federation,RUS,1762,55,2016-01-18,1,0,1910
133,Aisam Ul Haq Qureshi,Pakistan,PAK,1760,113,2007-09-17,1,0,1796
134,Sam Querrey,United States,USA,1759,18,2013-04-21,1,0,2068
135,Alexey Kedryuk,Kazakhstan,KAZ,1758,128,2007-11-04,1,0,1778
136,Alex Bogomolov Jr,Russian Federation,RUS,1757,47,2012-01-16,1,0,1938
137,Ricardo Mello,Brazil,BRA,1754,63,2005-02-21,1,0,1902
138,Andreas Vinciguerra,Sweden,SWE,1753,32,2001-02-26,1,0,1984
139,Lukas Dlouhy,Czech Republic,CZE,1753,112,2005-10-17,1,0,1795
140,Ivan Navarro,Spain,ESP,1751,98,2008-09-15,1,-1,1809
141,Stefano Galvani,Italy,ITA,1750,131,2006-10-02,1,0,1778
142,Janko Tipsarevic,Serbia,SRB,1746,9,2012-08-13,1,0,2158
143,George Bastl,Switzerland,SUI,1745,86,2001-01-15,1,0,1858
144,Bjorn Phau,Germany,GER,1744,87,2006-01-30,1,0,1859
145,Ryan Russell,Jamaica,JAM,1741,145,2006-10-09,1,-1,1744
146,Jiri Vanek,Czech Republic,CZE,1740,105,2001-05-28,1,0,1832
147,Frank Dancevic,Canada,CAN,1740,62,2007-09-17,1,0,1890
148,Mohammad Ghareeb,Kuwait,KUW,1737,124,2007-06-18,2,0,1775
149,Miguel Gallardo Valles,Mexico,MEX,1737,148,2006-10-09,0,-1,1743
150,Jeff Morrison,United States,USA,1734,103,2004-08-16,1,0,1833
151,Santiago Ventura,Spain,ESP,1734,80,2004-08-30,1,0,1870
152,Konstantinos Economidis,Greece,GRE,1729,134,2004-03-08,1,0,1779
153,Arvind Parmar,United Kingdom,GBR,1725,146,2000-07-17,1,-1,1778
154,Kornel Bardoczky,Hungary,HUN,1725,154,2006-12-08,1,0,1734
155,Santiago Gonzalez,Mexico,MEX,1725,155,2006-12-08,1,0,1725
156,Tomas Zib,Czech Republic,CZE,1725,99,2005-08-29,1,0,1830
157,Nathan Healey,Australia,AUS,1724,129,2006-03-17,1,0,1774
158,Robin Vik,Czech Republic,CZE,1724,94,2006-03-06,1,0,1833
159,Michal Przysiezny,Poland,POL,1721,99,2014-01-05,1,-1,1817
160,Oscar Hernandez,Spain,ESP,1721,71,2009-05-24,1,0,1863
161,Kevin Kim,United States,USA,1721,107,2005-04-01,1,0,1815
162,Alessio Di Mauro,Italy,ITA,1720,107,2006-05-01,1,0,1816
163,Federico Luzzi,Italy,ITA,1719,114,2001-05-14,1,0,1815
164,Jean Rene Lisnard,Monaco,MON,1717,86,2004-01-12,1,0,1853
165,Edgardo Massa,Argentina,ARG,1717,158,2006-08-14,1,0,1735
166,Thierry Ascione,France,FRA,1714,121,2004-04-19,1,0,1804
167,Michal Mertinak,Slovakia,SVK,1712,139,2005-10-10,1,0,1765
168,Carlos Berlocq,Argentina,ARG,1711,33,2014-06-09,1,0,1966
169,Ivan Miranda,Peru,PER,1711,130,2008-01-28,1,0,1780
170,Lars Burgsmuller,Germany,GER,1710,63,2001-06-18,1,0,1903
171,Mehdi Tahiri,Morocco,MAR,1706,163,2006-03-17,1,0,1734
172,Hugo Armando,United States,USA,1703,153,2008-08-18,1,0,1740
173,Sergiy Stakhovsky,Ukraine,UKR,1703,44,2010-08-29,1,0,1947
174,Alexander Peya,Austria,AUT,1703,123,2007-02-05,1,0,1774
175,Olivier Patience,France,FRA,1701,109,2004-06-21,2,0,1826
176,Jeff Salzenstein,United States,USA,1701,173,2004-09-30,0,0,1733
177,Amer Delic,Bosnia and Herzegovina,BIH,1700,76,2009-04-05,1,0,1847
178,Yen Hsun Lu,"Taiwan, Province of China",TPE,1698,50,2014-08-24,1,0,1922
179,Sergio Roitman,Argentina,ARG,1694,111,2007-08-06,1,0,1801
180,Alex Calatrava,Spain,ESP,1694,65,2001-02-04,1,0,1894
181,Melle Van Gemerden,Netherlands,NED,1693,178,2007-01-08,1,-1,1694
182,Lado Chikhladze,Georgia,GEO,1691,157,2007-02-19,1,0,1725
183,Marin Cilic,Croatia,CRO,1689,6,2014-09-08,2,0,2232
184,Alex Bogdanovic,United Kingdom,GBR,1689,177,2004-06-21,0,0,1716
185,Michael Berrer,Germany,GER,1688,55,2010-04-26,1,0,1898
186,Gouichi Motomura,Japan,JPN,1688,127,2005-02-21,1,0,1784
187,Martin Lee,United Kingdom,GBR,1684,126,2001-07-23,1,0,1804
188,Roko Karanusic,Croatia,CRO,1679,141,2009-02-02,1,0,1755
189,Boris Pashanski,Serbia,SRB,1676,108,2007-11-04,1,0,1806
190,Victor Estrella,Dominican Republic,DOM,1674,56,2016-02-22,1,0,1902
191,Ivo Minar,Czech Republic,CZE,1673,72,2005-07-25,1,0,1879
192,Juan Pablo Guzman,Argentina,ARG,1672,192,2006-12-08,1,0,1688
193,Peng Sun,China,CHN,1672,192,2007-02-19,1,0,1679
194,Scoville Jenkins,United States,USA,1671,189,2007-02-04,1,0,1692
195,Tomas Behrend,Germany,GER,1670,94,2003-08-25,1,0,1837
196,Pablo Gonzalez,Colombia,COL,1669,196,2006-12-08,1,0,1680
197,Jamie Delgado,United Kingdom,GBR,1668,150,2001-07-09,1,-1,1770
198,Jhonnatan Medina Alvarez,"Venezuela, Bolivarian Republic of",VEN,1665,187,2007-02-19,1,0,1686
199,Juan Antonio Marin,Costa Rica,CRC,1663,96,2000-05-29,1,0,1853
200,Rik De Voest,South Africa,RSA,1663,118,2008-10-06,1,0,1775
201,Gilles Kremer,Luxembourg,LUX,1660,190,2006-03-06,1,0,1706
202,Stian Boretti,Norway,NOR,1660,190,2004-04-16,1,0,1695
203,Fernando Vicente,Spain,ESP,1656,53,1999-08-02,1,0,1932
204,Prakash Amritraj,India,IND,1653,109,2008-08-11,1,-1,1790
205,Dick Norman,Belgium,BEL,1645,100,1995-09-29,1,0,1837
206,Alexandros Jakupovic,Greece,GRE,1645,205,2007-01-08,1,0,1662
207,Satoshi Iwabuchi,Japan,JPN,1642,206,2007-01-08,1,0,1663
208,Marcos Daniel,Brazil,BRA,1634,115,2009-08-03,1,0,1790
209,Yu Jr Wang,China,CHN,1634,207,2005-02-14,1,0,1675
210,Adrian Garcia,Chile,CHI,1628,149,2004-08-23,1,0,1759
211,Jhonson Garcia,Dominican Republic,DOM,1619,164,2011-03-11,1,0,1722
212,Prima Simpatiaji,Indonesia,INA,1616,189,2006-09-11,1,0,1699
213,Razvan Sabau,Romania,ROU,1615,147,2005-10-03,1,0,1766
214,Slimane Saoudi,Algeria,ALG,1598,214,2006-12-08,1,0,1660
215,Ti Chen,"Taiwan, Province of China",TPE,1592,177,2009-03-02,1,0,1698
217,Zack Fleishman,United States,USA,1583,151,2008-01-07,1,0,1746
218,Rohan Bopanna,India,IND,1578,138,2010-11-14,1,0,1756
219,Bobby Reynolds,United States,USA,1572,97,2008-10-06,1,0,1809
220,Genius Chidzikwe,Zimbabwe,ZIM,1563,220,2006-12-08,1,0,1563
221,Hiu Tung Yu,Hong Kong,HKG,1559,170,2011-07-15,1,0,1715
