rank,name,country_name,country_id,points,bestRank,bestRankDate,rankDiff,pointsDiff,bestPoints
1,Rafael Nadal,Spain,ESP,2408,1,2008-06-16,0,-16,2552
2,Roger Federer,Switzerland,SUI,2343,1,2003-08-11,0,0,2550
3,Novak Djokovic,Serbia,SRB,2303,1,2011-03-21,0,0,2629
4,Andy Murray,United Kingdom,GBR,2277,2,2009-04-19,0,0,2500
5,Juan Martin Del Potro,Argentina,ARG,2257,3,2010-06-07,0,-15,2331
6,Robin Soderling,Sweden,SWE,2208,4,2011-04-03,0,-14,2271
7,Andy Roddick,United States,USA,2185,1,2003-09-08,0,0,2274
8,David Nalbandian,Argentina,ARG,2172,3,2006-05-22,0,0,2196
9,David Ferrer,Spain,ESP,2146,4,2007-11-19,1,-4,2348
10,Nikolay Davydenko,Russian Federation,RUS,2143,5,2008-04-21,-1,-14,2291
11,Jo Wilfried Tsonga,France,FRA,2125,6,2009-03-02,2,-1,2244
12,Tomas Berdych,Czech Republic,CZE,2125,5,2007-07-09,0,-4,2263
13,Fernando Verdasco,Spain,ESP,2124,7,2009-05-04,-2,-14,2204
14,Mikhail Youzhny,Russian Federation,RUS,2122,9,2007-06-11,1,21,2122
15,Mardy Fish,United States,USA,2119,9,2011-08-21,-1,0,2169
16,Gael Monfils,France,FRA,2090,7,2010-11-28,0,0,2189
17,Stan Wawrinka,Switzerland,SUI,2089,5,2014-02-17,0,0,2291
18,Lleyton Hewitt,Australia,AUS,2072,1,2001-10-15,1,0,2295
19,Nicolas Almagro,Spain,ESP,2071,9,2012-07-23,1,0,2160
20,Jurgen Melzer,Austria,AUT,2066,12,2011-01-31,-2,-10,2110
21,Marin Cilic,Croatia,CRO,2065,6,2014-09-08,0,0,2232
22,Fernando Gonzalez,Chile,CHI,2057,3,2006-10-23,0,0,2209
23,Juan Carlos Ferrero,Spain,ESP,2040,3,2003-06-09,0,0,2225
24,Gilles Simon,France,FRA,2039,9,2009-01-11,0,0,2124
25,Philipp Kohlschreiber,Germany,GER,2038,14,2016-05-02,0,0,2117
26,Mario Ancic,Croatia,CRO,2036,6,2006-09-11,0,-1,2133
27,Marcos Baghdatis,Cyprus,CYP,2035,9,2007-08-20,0,1,2098
28,Sam Querrey,United States,USA,2033,18,2013-04-21,0,0,2068
29,Richard Gasquet,France,FRA,2032,9,2007-10-08,0,0,2196
30,Tommy Haas,Germany,GER,2025,2,2002-01-28,0,0,2189
31,Radek Stepanek,Czech Republic,CZE,2023,10,2009-11-29,0,0,2136
32,Ernests Gulbis,Latvia,LAT,2014,10,2014-06-09,0,-7,2167
33,Albert Montanes,Spain,ESP,2011,29,2010-07-19,0,0,2019
34,Ivo Karlovic,Croatia,CRO,2006,17,2007-11-04,0,0,2061
35,John Isner,United States,USA,1999,10,2012-04-13,0,0,2147
36,Michael Llodra,France,FRA,1993,31,2011-04-03,0,0,2012
37,Julien Benneteau,France,FRA,1988,25,2013-02-18,0,0,2027
38,Ivan Ljubicic,Croatia,CRO,1987,3,2006-03-31,0,0,2206
39,Janko Tipsarevic,Serbia,SRB,1984,9,2012-08-13,0,0,2158
40,Guillermo Garcia Lopez,Spain,ESP,1975,30,2014-06-09,13,56,2009
41,Jeremy Chardy,France,FRA,1967,23,2015-09-14,-1,0,2016
42,Feliciano Lopez,Spain,ESP,1966,16,2014-10-12,-1,0,2074
