rank,name,country_name,country_id,points,bestRank,bestRankDate,rankDiff,pointsDiff,bestPoints
1,Roger Federer,Switzerland,SUI,2462,1,2003-08-11,0,14,2550
2,Lleyton Hewitt,Australia,AUS,2276,1,2001-10-15,0,0,2295
3,Andre Agassi,United States,USA,2221,1,1995-03-24,1,12,2376
4,Andy Roddick,United States,USA,2217,1,2003-09-08,-1,-16,2274
5,Marat Safin,Russian Federation,RUS,2185,2,2000-09-18,0,-14,2218
6,Ivan Ljubicic,Croatia,CRO,2115,3,2006-03-31,2,-2,2206
7,Tim Henman,United Kingdom,GBR,2109,4,2002-04-12,3,15,2165
8,Guillermo Coria,Argentina,ARG,2108,2,2004-06-07,-1,-10,2229
9,David Nalbandian,Argentina,ARG,2107,3,2006-05-22,-3,-11,2196
10,Rafael Nadal,Spain,ESP,2097,1,2008-06-16,3,37,2552
11,Carlos Moya,Spain,ESP,2093,3,2002-12-06,-2,-8,2190
12,Guillermo Canas,Argentina,ARG,2076,8,2002-08-05,-1,-12,2113
13,Gaston Gaudio,Argentina,ARG,2054,8,2005-07-11,2,6,2137
14,Fernando Gonzalez,Chile,CHI,2048,3,2006-10-23,-2,-13,2209
15,Tommy Haas,Germany,GER,2040,2,2002-01-28,2,-5,2189
16,Nicolas Kiefer,Germany,GER,2038,5,2000-02-14,-2,-15,2135
17,Joachim Johansson,Sweden,SWE,2032,10,2005-02-14,-1,-16,2074
18,Jiri Novak,Czech Republic,CZE,2031,6,2002-10-21,0,-1,2112
19,Gustavo Kuerten,Brazil,BRA,2028,1,2001-06-11,0,0,2281
20,Thomas Johansson,Sweden,SWE,2027,7,2002-02-15,6,24,2136
21,Taylor Dent,United States,USA,2027,16,2003-10-27,2,20,2040
22,Nicolas Escude,France,FRA,2024,13,2002-03-04,-2,-1,2091
23,Tommy Robredo,Spain,ESP,2021,10,2006-05-22,-2,1,2107
24,Juan Carlos Ferrero,Spain,ESP,2012,3,2003-06-09,0,7,2225
25,Mikhail Youzhny,Russian Federation,RUS,2003,9,2007-06-11,-3,-13,2122
26,Nicolas Massu,Chile,CHI,2000,13,2003-10-20,1,0,2053
27,Radek Stepanek,Czech Republic,CZE,1994,10,2009-11-29,3,2,2136
28,Fabrice Santoro,France,FRA,1994,17,2001-08-06,0,0,2052
29,Dominik Hrbaty,Slovakia,SVK,1993,15,2005-12-09,4,19,2085
30,Greg Rusedski,United Kingdom,GBR,1989,3,1998-11-30,-1,-5,2178
31,Nikolay Davydenko,Russian Federation,RUS,1989,5,2008-04-21,-6,-14,2291
32,Mario Ancic,Croatia,CRO,1982,6,2006-09-11,6,20,2133
33,Feliciano Lopez,Spain,ESP,1977,16,2014-10-12,-2,-13,2074
34,Robin Soderling,Sweden,SWE,1973,4,2011-04-03,0,0,2271
35,Olivier Rochus,Belgium,BEL,1971,18,2006-05-08,2,6,2035
36,Sebastien Grosjean,France,FRA,1970,4,2003-01-27,-1,-2,2133
37,Max Mirnyi,Belarus,BLR,1970,20,2001-10-22,-5,-13,2041
38,Mardy Fish,United States,USA,1968,9,2011-08-21,-2,-3,2169
39,Juan Ignacio Chela,Argentina,ARG,1959,15,2004-04-26,1,-2,2049
40,Martin Verkerk,Netherlands,NED,1958,34,2004-10-04,2,-1,1980
41,Paradorn Srichaphan,Thailand,THA,1948,9,2003-01-06,0,-12,2103
42,Andrei Pavel,Romania,ROU,1946,11,2004-05-17,1,-12,2061
43,Vincent Spadea,United States,USA,1945,20,1999-09-20,5,3,2034
44,Stefan Koubek,Austria,AUT,1945,38,2000-03-06,-5,-16,1970
45,Cyril Saulnier,France,FRA,1943,41,2005-02-14,-1,-11,1961
46,Jarkko Nieminen,Finland,FIN,1941,19,2006-03-17,3,1,2034
47,David Ferrer,Spain,ESP,1938,4,2007-11-19,30,64,2348
48,Rainer Schuettler,Germany,GER,1936,8,2003-10-13,2,0,2123
49,Sjeng Schalken,Netherlands,NED,1932,9,2003-09-15,2,0,2085
50,Xavier Malisse,Belgium,BEL,1931,24,2002-03-11,-4,-12,2035
51,Agustin Calleri,Argentina,ARG,1930,19,2003-05-19,-4,-12,2043
52,James Blake,United States,USA,1929,4,2007-01-15,1,5,2164
53,Younes El Aynaoui,Morocco,MAR,1928,13,2002-05-06,-8,-16,2095
54,Paul Henri Mathieu,France,FRA,1927,13,2007-08-12,0,4,2082
55,Fernando Verdasco,Spain,ESP,1922,7,2009-05-04,8,19,2204
56,Todd Martin,United States,USA,1921,2,1999-01-18,-1,-1,2188
57,Mariano Zabaleta,Argentina,ARG,1921,22,2003-08-25,8,21,2027
58,Jurgen Melzer,Austria,AUT,1918,12,2011-01-31,-6,-13,2110
59,Karol Kucera,Slovakia,SVK,1913,7,1999-10-11,-2,0,2125
60,Robby Ginepri,United States,USA,1906,15,2005-09-12,-1,-1,2057
61,Karol Beck,Slovakia,SVK,1904,49,2005-02-14,-5,-14,1935
62,Hicham Arazi,Morocco,MAR,1903,24,2002-01-07,0,0,2025
63,Mark Philippoussis,Australia,AUS,1902,4,2000-03-20,3,4,2171
64,Tomas Berdych,Czech Republic,CZE,1901,5,2007-07-09,-6,-12,2263
65,Arnaud Clement,France,FRA,1900,10,2001-01-29,10,24,2107
66,Wayne Arthurs,Australia,AUS,1896,45,2001-06-25,1,0,1948
67,Michael Llodra,France,FRA,1892,31,2011-04-03,-7,-14,2012
68,Jonas Bjorkman,Sweden,SWE,1892,3,1997-12-05,4,7,2174
69,Wayne Ferreira,South Africa,RSA,1892,7,1995-05-22,0,0,2158
70,Hyung Taik Lee,"Korea, Republic of",KOR,1892,38,2007-10-15,4,14,1964
71,Alberto Martin,Spain,ESP,1890,39,2001-05-28,2,8,1963
72,Luis Horna,Peru,PER,1890,39,2004-10-25,-11,-15,1958
73,Kenneth Carlsen,Denmark,DEN,1890,49,1995-05-29,-9,-11,1944
74,Ricardo Mello,Brazil,BRA,1887,63,2005-02-21,-3,1,1902
75,Igor Andreev,Russian Federation,RUS,1885,17,2008-09-08,5,15,2062
76,Florian Mayer,Germany,GER,1885,22,2011-11-14,14,40,2044
77,Jose Acasuso,Argentina,ARG,1881,24,2006-08-14,2,9,2011
78,Sargis Sargsian,Armenia,ARM,1879,44,2004-01-12,-10,-15,1959
79,Thomas Enqvist,Sweden,SWE,1877,5,1998-05-04,-9,-12,2173
80,Felix Mantilla,Spain,ESP,1875,6,1997-09-15,-4,0,2133
81,Albert Costa,Spain,ESP,1873,4,1998-06-08,-3,0,2154
82,Goran Ivanisevic,Croatia,CRO,1868,3,1992-11-23,-1,-1,2246
83,Franco Squillari,Argentina,ARG,1863,27,2000-07-28,-1,-1,2009
84,Jerome Golmard,France,FRA,1857,19,2000-01-10,1,-1,2039
85,Mariano Puerta,Argentina,ARG,1853,21,2000-07-28,2,0,2042
86,Filippo Volandri,Italy,ITA,1853,30,2007-06-18,-3,-10,1986
87,Ivo Minar,Czech Republic,CZE,1853,72,2005-07-25,,,1879
88,Gael Monfils,France,FRA,1851,7,2010-11-28,25,48,2189
89,Dmitry Tursunov,Russian Federation,RUS,1851,20,2006-10-02,0,0,2042
90,Ivo Karlovic,Croatia,CRO,1850,17,2007-11-04,-6,-8,2061
91,Gilles Muller,Luxembourg,LUX,1846,18,2017-07-24,-5,-11,2098
92,Alexander Popp,Germany,GER,1844,73,2003-07-07,0,-1,1883
93,Santiago Ventura,Spain,ESP,1840,80,2004-08-30,-5,-11,1870
94,Ramon Delgado,Paraguay,PAR,1840,61,1998-11-09,-1,0,1906
95,Leander Paes,India,IND,1839,54,1998-08-24,-1,0,1927
96,Jerome Haehnel,France,FRA,1838,91,2005-02-14,-1,0,1846
97,Alex Corretja,Spain,ESP,1837,3,2000-08-07,-1,0,2182
98,Marc Lopez,Spain,ESP,1833,88,2002-10-28,-1,0,1846
99,Raemon Sluiter,Netherlands,NED,1831,57,2003-02-24,0,0,1918
100,Jan Hernych,Czech Republic,CZE,1830,68,2014-02-10,-9,-15,1882
101,Bohdan Ulihrach,Czech Republic,CZE,1830,25,1996-09-09,1,0,2016
102,Julien Boutter,France,FRA,1830,32,2002-05-20,-1,-1,1982
103,Nicolas Lapentti,Ecuador,ECU,1823,7,1999-11-08,1,10,2108
104,Michal Tabara,Czech Republic,CZE,1823,85,2001-05-28,-6,-10,1868
105,Fernando Vicente,Spain,ESP,1821,53,1999-08-02,-2,0,1932
106,Juan Monaco,Argentina,ARG,1818,12,2012-07-23,-6,-13,2125
107,Kevin Kim,United States,USA,1815,107,2005-04-01,7,13,1815
108,Victor Hanescu,Romania,ROU,1813,41,2010-06-20,2,7,1958
109,Kristof Vliegen,Belgium,BEL,1812,37,2006-05-08,-4,0,1961
110,Paul Goldstein,United States,USA,1812,57,2006-04-24,-4,0,1906
