rank,name,country_name,country_id,points,bestRank,bestRankDate,rankDiff,pointsDiff,bestPoints
1,Novak Djokovic,Serbia,SRB,2622,1,2011-03-21,0,0,2629
2,Andy Murray,United Kingdom,GBR,2428,2,2009-04-19,0,0,2500
3,Roger Federer,Switzerland,SUI,2385,1,2003-08-11,0,0,2550
4,Rafael Nadal,Spain,ESP,2323,1,2008-06-16,0,0,2552
5,Kei Nishikori,Japan,JPN,2276,4,2016-09-12,0,0,2296
6,Stan Wawrinka,Switzerland,SUI,2235,5,2014-02-17,0,0,2291
7,Milos Raonic,Canada,CAN,2230,5,2016-07-11,0,0,2269
8,Tomas Berdych,Czech Republic,CZE,2196,5,2007-07-09,0,0,2263
9,Dominic Thiem,Austria,AUT,2183,4,2020-02-03,0,0,2250
10,Richard Gasquet,France,FRA,2180,9,2007-10-08,0,0,2196
11,Juan Martin Del Potro,Argentina,ARG,2147,3,2010-06-07,0,0,2331
12,Jo Wilfried Tsonga,France,FRA,2144,6,2009-03-02,0,0,2244
13,David Goffin,Belgium,BEL,2126,8,2018-05-21,0,0,2165
14,David Ferrer,Spain,ESP,2123,4,2007-11-19,0,0,2348
15,Roberto Bautista Agut,Spain,ESP,2117,9,2019-07-15,0,0,2135
16,Gael Monfils,France,FRA,2109,7,2010-11-28,0,0,2189
17,Nick Kyrgios,Australia,AUS,2106,10,2017-04-14,0,0,2176
18,Philipp Kohlschreiber,Germany,GER,2105,14,2016-05-02,0,0,2117
19,Marin Cilic,Croatia,CRO,2087,6,2014-09-08,0,0,2232
20,John Isner,United States,USA,2074,10,2012-04-13,0,0,2147
21,Jack Sock,United States,USA,2040,13,2017-03-20,0,0,2144
22,Gilles Simon,France,FRA,2039,9,2009-01-11,0,0,2124
23,Kevin Anderson,South Africa,RSA,2025,6,2019-04-15,0,1,2181
24,Alexander Zverev,Germany,GER,2011,4,2021-08-22,0,0,2261
25,Grigor Dimitrov,Bulgaria,BUL,2009,6,2018-01-29,0,0,2203
26,Pablo Cuevas,Uruguay,URU,2003,26,2016-05-09,3,15,2004
27,Fernando Verdasco,Spain,ESP,1994,7,2009-05-04,-1,-2,2204
28,Gilles Muller,Luxembourg,LUX,1994,18,2017-07-24,4,11,2098
29,Juan Monaco,Argentina,ARG,1992,12,2012-07-23,-2,0,2125
30,Bernard Tomic,Australia,AUS,1991,21,2015-03-23,-2,0,2037
31,Nicolas Almagro,Spain,ESP,1986,9,2012-07-23,-1,0,2160
32,Alexandr Dolgopolov,Ukraine,UKR,1984,22,2014-04-14,-1,-1,2057
33,Marcos Baghdatis,Cyprus,CYP,1981,9,2007-08-20,0,2,2098
34,Feliciano Lopez,Spain,ESP,1978,16,2014-10-12,0,0,2074
35,Viktor Troicki,Serbia,SRB,1977,15,2011-04-03,0,0,2091
36,Steve Johnson,United States,USA,1976,21,2017-04-17,19,50,2042
37,Tommy Robredo,Spain,ESP,1970,10,2006-05-22,-1,0,2107
38,Florian Mayer,Germany,GER,1967,22,2011-11-14,-1,0,2044
39,Andrey Kuznetsov,Russian Federation,RUS,1963,30,2016-09-23,-1,0,1998
40,Jeremy Chardy,France,FRA,1960,23,2015-09-14,-1,0,2016
41,Albert Ramos,Spain,ESP,1954,25,2017-05-01,-1,0,2014
42,Mardy Fish,United States,USA,1951,9,2011-08-21,-1,0,2169
43,Andreas Seppi,Italy,ITA,1948,21,2015-08-03,4,11,2030
44,Fabio Fognini,Italy,ITA,1947,14,2014-04-11,-2,0,2112
45,Tommy Haas,Germany,GER,1942,2,2002-01-28,-2,0,2189
46,Borna Coric,Croatia,CRO,1940,13,2019-01-07,-2,0,2102
47,Martin Klizan,Slovakia,SVK,1936,26,2018-10-01,1,0,1998
48,Federico Delbonis,Argentina,ARG,1936,41,2016-04-11,1,0,1953
49,Lucas Pouille,France,FRA,1936,20,2016-09-26,1,0,2069
50,Ivo Karlovic,Croatia,CRO,1935,17,2007-11-04,1,0,2061
51,Sam Querrey,United States,USA,1934,18,2013-04-21,-5,-4,2068
52,Benoit Paire,France,FRA,1934,25,2016-01-11,0,0,2003
53,Guillermo Garcia Lopez,Spain,ESP,1933,30,2014-06-09,0,0,2009
54,Radek Stepanek,Czech Republic,CZE,1932,10,2009-11-29,0,0,2136
55,Joao Sousa,Portugal,POR,1925,32,2016-02-01,-10,-13,1974
56,Nicolas Mahut,France,FRA,1915,35,2016-10-10,0,0,1970
57,Leonardo Mayer,Argentina,ARG,1912,28,2014-08-11,1,0,1999
58,Adrian Mannarino,France,FRA,1908,29,2018-01-15,2,3,2004
59,Marcel Granollers,Spain,ESP,1901,29,2013-11-04,2,0,2004
60,Pablo Carreno Busta,Spain,ESP,1901,10,2021-07-31,-3,-11,2121
61,Ernests Gulbis,Latvia,LAT,1894,10,2014-06-09,1,0,2167
62,Lukas Rosol,Czech Republic,CZE,1893,29,2014-08-24,-3,-12,1982
63,Jerzy Janowicz,Poland,POL,1888,25,2014-02-17,0,0,2027
64,Lleyton Hewitt,Australia,AUS,1886,1,2001-10-15,0,0,2295
65,Dustin Brown,Germany,GER,1883,51,2017-01-09,0,0,1916
66,Yen Hsun Lu,"Taiwan, Province of China",TPE,1881,50,2014-08-24,0,0,1922
67,Jiri Vesely,Czech Republic,CZE,1876,38,2017-08-07,2,0,1952
68,Donald Young,United States,USA,1875,34,2017-04-03,2,0,1976
69,Thomaz Bellucci,Brazil,BRA,1870,33,2012-07-23,-2,-11,1996
