rank,name,country_name,country_id,points,bestRank,bestRankDate,rankDiff,pointsDiff,bestPoints
1,Rafael Nadal,Spain,ESP,2442,1,2008-06-16,0,30,2552
2,Roger Federer,Switzerland,SUI,2407,1,2003-08-11,0,1,2550
3,Novak Djokovic,Serbia,SRB,2272,1,2011-03-21,0,-20,2629
4,Andy Roddick,United States,USA,2209,1,2003-09-08,0,-19,2274
5,David Ferrer,Spain,ESP,2166,4,2007-11-19,1,-7,2348
6,Nikolay Davydenko,Russian Federation,RUS,2162,5,2008-04-21,-1,-22,2291
7,Andy Murray,United Kingdom,GBR,2148,2,2009-04-19,1,28,2500
8,Mario Ancic,Croatia,CRO,2129,6,2006-09-11,3,33,2133
9,David Nalbandian,Argentina,ARG,2116,3,2006-05-22,-2,-21,2196
10,Lleyton Hewitt,Australia,AUS,2108,1,2001-10-15,2,14,2295
11,Robin Soderling,Sweden,SWE,2098,4,2011-04-03,-2,-2,2271
12,Fernando Gonzalez,Chile,CHI,2090,3,2006-10-23,-2,-10,2209
13,Stan Wawrinka,Switzerland,SUI,2076,5,2014-02-17,0,-2,2291
14,Radek Stepanek,Czech Republic,CZE,2070,10,2009-11-29,0,-5,2136
15,Marcos Baghdatis,Cyprus,CYP,2064,9,2007-08-20,2,0,2098
16,Fernando Verdasco,Spain,ESP,2060,7,2009-05-04,5,22,2204
17,Tomas Berdych,Czech Republic,CZE,2057,5,2007-07-09,1,-2,2263
18,Tommy Haas,Germany,GER,2054,2,2002-01-28,2,12,2189
19,Nicolas Almagro,Spain,ESP,2053,9,2012-07-23,-4,-15,2160
20,James Blake,United States,USA,2050,4,2007-01-15,-4,-17,2164
21,Mikhail Youzhny,Russian Federation,RUS,2050,9,2007-06-11,4,19,2122
22,Richard Gasquet,France,FRA,2049,9,2007-10-08,4,20,2196
23,Tommy Robredo,Spain,ESP,2045,10,2006-05-22,-4,-8,2107
24,Nicolas Kiefer,Germany,GER,2043,5,2000-02-14,0,12,2135
25,Philipp Kohlschreiber,Germany,GER,2020,14,2016-05-02,-2,-13,2117
26,Marat Safin,Russian Federation,RUS,2018,2,2000-09-18,19,75,2218
27,Juan Carlos Ferrero,Spain,ESP,2017,3,2003-06-09,0,-11,2225
28,Jo Wilfried Tsonga,France,FRA,2015,6,2009-03-02,0,-1,2244
29,Ivo Karlovic,Croatia,CRO,2015,17,2007-11-04,-7,-22,2061
30,Gael Monfils,France,FRA,2013,7,2010-11-28,-1,0,2189
31,Juan Monaco,Argentina,ARG,2013,12,2012-07-23,-1,0,2125
32,Paul Henri Mathieu,France,FRA,2000,13,2007-08-12,-1,-3,2082
33,Igor Andreev,Russian Federation,RUS,1991,17,2008-09-08,0,-1,2062
34,Ivan Ljubicic,Croatia,CRO,1980,3,2006-03-31,-2,-17,2206
35,Mardy Fish,United States,USA,1973,9,2011-08-21,-1,-11,2169
36,Carlos Moya,Spain,ESP,1971,3,2002-12-06,-1,0,2190
37,Gilles Simon,France,FRA,1961,9,2009-01-11,5,4,2124
38,Guillermo Canas,Argentina,ARG,1959,8,2002-08-05,-2,-11,2113
39,Janko Tipsarevic,Serbia,SRB,1959,9,2012-08-13,9,23,2158
40,Andreas Seppi,Italy,ITA,1959,21,2015-08-03,1,0,2030
41,Feliciano Lopez,Spain,ESP,1956,16,2014-10-12,13,31,2074
42,Robby Ginepri,United States,USA,1956,15,2005-09-12,-5,-8,2057
43,Dmitry Tursunov,Russian Federation,RUS,1956,20,2006-10-02,0,2,2042
44,Simone Bolelli,Italy,ITA,1954,39,2015-08-10,2,15,1959
45,Fabrice Santoro,France,FRA,1952,17,2001-08-06,-6,-8,2052
46,Juan Ignacio Chela,Argentina,ARG,1952,15,2004-04-26,-2,0,2049
47,Michael Llodra,France,FRA,1951,31,2011-04-03,-7,-8,2012
48,Julien Benneteau,France,FRA,1951,25,2013-02-18,-10,-11,2027
49,Xavier Malisse,Belgium,BEL,1934,24,2002-03-11,2,4,2035
50,Juan Martin Del Potro,Argentina,ARG,1933,3,2010-06-07,-3,-5,2331
51,Sebastien Grosjean,France,FRA,1932,4,2003-01-27,-2,1,2133
52,Jose Acasuso,Argentina,ARG,1931,24,2006-08-14,-2,0,2011
53,Ernests Gulbis,Latvia,LAT,1931,10,2014-06-09,4,8,2167
54,Marin Cilic,Croatia,CRO,1929,6,2014-09-08,7,26,2232
55,Joachim Johansson,Sweden,SWE,1928,10,2005-02-14,-3,-1,2074
56,Jarkko Nieminen,Finland,FIN,1924,19,2006-03-17,-3,-5,2034
57,Tim Henman,United Kingdom,GBR,1922,4,2002-04-12,-2,-2,2165
58,Thomas Johansson,Sweden,SWE,1921,7,2002-02-15,0,2,2136
59,Stefan Koubek,Austria,AUT,1915,38,2000-03-06,0,0,1970
60,Sam Querrey,United States,USA,1913,18,2013-04-21,-4,-10,2068
61,Marc Gicquel,France,FRA,1912,44,2007-02-26,2,17,1938
62,Arnaud Clement,France,FRA,1902,10,2001-01-29,10,45,2107
63,Agustin Calleri,Argentina,ARG,1900,19,2003-05-19,-1,-1,2043
64,Hyung Taik Lee,"Korea, Republic of",KOR,1893,38,2007-10-15,-4,-22,1964
65,Jurgen Melzer,Austria,AUT,1892,12,2011-01-31,2,12,2110
66,Rainer Schuettler,Germany,GER,1880,8,2003-10-13,89,134,2123
67,Albert Montanes,Spain,ESP,1879,29,2010-07-19,1,0,2019
68,Younes El Aynaoui,Morocco,MAR,1879,13,2002-05-06,1,0,2095
69,Nicolas Mahut,France,FRA,1873,35,2016-10-10,-5,-12,1970
70,Evgeny Korolev,Kazakhstan,KAZ,1872,53,2010-02-01,-5,-8,1907
71,Steve Darcis,Belgium,BEL,1870,41,2017-04-14,-1,-7,1950
72,Olivier Rochus,Belgium,BEL,1859,18,2006-05-08,3,7,2035
73,Luis Horna,Peru,PER,1856,39,2004-10-25,-7,-24,1958
74,Gaston Gaudio,Argentina,ARG,1853,8,2005-07-11,0,0,2137
75,Ramon Delgado,Paraguay,PAR,1851,61,1998-11-09,1,-1,1906
76,Florent Serra,France,FRA,1851,44,2010-04-18,1,0,1942
77,Robin Haase,Netherlands,NED,1849,44,2011-09-26,-4,-7,1946
78,Nicolas Lapentti,Ecuador,ECU,1846,7,1999-11-08,-7,-19,2108
79,Wesley Moodie,South Africa,RSA,1843,53,2005-10-10,0,-1,1920
80,Takao Suzuki,Japan,JPN,1843,71,2009-06-15,1,0,1860
81,Wayne Arthurs,Australia,AUS,1838,45,2001-06-25,1,-1,1948
82,Guillermo Garcia Lopez,Spain,ESP,1836,30,2014-06-09,14,16,2009
83,Guillermo Coria,Argentina,ARG,1835,2,2004-06-07,1,0,2229
84,Jonas Bjorkman,Sweden,SWE,1834,3,1997-12-05,-6,-16,2174
85,Nicolas Massu,Chile,CHI,1832,13,2003-10-20,1,0,2053
86,Denis Gremelmayr,Germany,GER,1831,66,2008-05-12,-6,-12,1882
87,Frank Dancevic,Canada,CAN,1827,62,2007-09-17,12,12,1890
88,Andrei Pavel,Romania,ROU,1827,11,2004-05-17,3,0,2061
89,Jan Hernych,Czech Republic,CZE,1826,68,2014-02-10,-4,-6,1882
90,Potito Starace,Italy,ITA,1825,46,2007-08-05,-7,-13,1937
91,Oscar Hernandez,Spain,ESP,1819,71,2009-05-24,-1,-9,1863
92,Wayne Odesnik,United States,USA,1819,70,2010-05-14,-5,-13,1854
93,Marcel Granollers,Spain,ESP,1816,29,2013-11-04,0,-7,2004
94,Jeremy Chardy,France,FRA,1815,23,2015-09-14,11,6,2016
95,Viktor Troicki,Serbia,SRB,1812,15,2011-04-03,18,17,2091
96,Mischa Zverev,Germany,GER,1812,37,2017-01-30,41,45,1968
97,Paul Capdeville,Chile,CHI,1812,71,2007-09-28,7,0,1869
98,Dominik Hrbaty,Slovakia,SVK,1812,15,2005-12-09,4,-1,2085
99,Kevin Anderson,South Africa,RSA,1811,6,2019-04-15,-7,-14,2181
100,Victor Hanescu,Romania,ROU,1811,41,2010-06-20,10,14,1958
101,Fabio Fognini,Italy,ITA,1809,14,2014-04-11,-6,-12,2112
