rank,name,country_name,country_id,points,bestRank,bestRankDate,rankDiff,pointsDiff,bestPoints
1,Novak Djokovic,Serbia,SRB,2572,1,2011-03-21,0,0,2629
2,Roger Federer,Switzerland,SUI,2447,1,2003-08-11,0,0,2550
3,Andy Murray,United Kingdom,GBR,2383,2,2009-04-19,0,0,2500
4,Rafael Nadal,Spain,ESP,2280,1,2008-06-16,0,0,2552
5,Kei Nishikori,Japan,JPN,2260,4,2016-09-12,0,0,2296
6,Stan Wawrinka,Switzerland,SUI,2254,5,2014-02-17,0,-6,2291
7,Juan Martin Del Potro,Argentina,ARG,2215,3,2010-06-07,0,0,2331
8,David Ferrer,Spain,ESP,2206,4,2007-11-19,0,0,2348
9,Richard Gasquet,France,FRA,2191,9,2007-10-08,1,0,2196
10,Tomas Berdych,Czech Republic,CZE,2188,5,2007-07-09,-1,-13,2263
11,Jo Wilfried Tsonga,France,FRA,2165,6,2009-03-02,1,20,2244
12,Milos Raonic,Canada,CAN,2160,5,2016-07-11,1,19,2269
13,Marin Cilic,Croatia,CRO,2157,6,2014-09-08,-2,0,2232
14,Kevin Anderson,South Africa,RSA,2134,6,2019-04-15,0,0,2181
15,John Isner,United States,USA,2091,10,2012-04-13,0,0,2147
16,Gael Monfils,France,FRA,2089,7,2010-11-28,0,0,2189
17,Grigor Dimitrov,Bulgaria,BUL,2086,6,2018-01-29,0,0,2203
18,Gilles Simon,France,FRA,2073,9,2009-01-11,0,8,2124
19,David Goffin,Belgium,BEL,2048,8,2018-05-21,0,0,2165
20,Roberto Bautista Agut,Spain,ESP,2047,9,2019-07-15,0,2,2135
21,Philipp Kohlschreiber,Germany,GER,2039,14,2016-05-02,0,5,2117
22,Feliciano Lopez,Spain,ESP,2034,16,2014-10-12,0,0,2074
23,Jack Sock,United States,USA,2016,13,2017-03-20,0,0,2144
24,Jeremy Chardy,France,FRA,2016,23,2015-09-14,0,0,2016
25,Tommy Robredo,Spain,ESP,2005,10,2006-05-22,1,6,2107
26,Ivo Karlovic,Croatia,CRO,2004,17,2007-11-04,-1,0,2061
27,Nick Kyrgios,Australia,AUS,1999,10,2017-04-14,0,0,2176
28,Fabio Fognini,Italy,ITA,1998,14,2014-04-11,0,0,2112
29,Andreas Seppi,Italy,ITA,1998,21,2015-08-03,0,0,2030
30,Bernard Tomic,Australia,AUS,1992,21,2015-03-23,1,0,2037
31,Fernando Verdasco,Spain,ESP,1992,7,2009-05-04,-1,-5,2204
32,Nicolas Almagro,Spain,ESP,1991,9,2012-07-23,0,0,2160
33,Dominic Thiem,Austria,AUT,1986,4,2020-02-03,0,1,2250
34,Alexandr Dolgopolov,Ukraine,UKR,1979,22,2014-04-14,0,0,2057
35,Leonardo Mayer,Argentina,ARG,1975,28,2014-08-11,0,0,1999
36,Mardy Fish,United States,USA,1960,9,2011-08-21,1,0,2169
37,Gilles Muller,Luxembourg,LUX,1958,18,2017-07-24,4,10,2098
38,Tommy Haas,Germany,GER,1957,2,2002-01-28,0,0,2189
39,Benoit Paire,France,FRA,1956,25,2016-01-11,-3,-10,2003
40,Viktor Troicki,Serbia,SRB,1955,15,2011-04-03,-1,0,2091
41,Martin Klizan,Slovakia,SVK,1953,26,2018-10-01,7,19,1998
42,Thomaz Bellucci,Brazil,BRA,1951,33,2012-07-23,-2,0,1996
43,Simone Bolelli,Italy,ITA,1945,39,2015-08-10,4,9,1959
44,Juan Monaco,Argentina,ARG,1944,12,2012-07-23,-2,0,2125
45,Sam Querrey,United States,USA,1943,18,2013-04-21,-1,0,2068
46,Guillermo Garcia Lopez,Spain,ESP,1940,30,2014-06-09,-3,-3,2009
47,Borna Coric,Croatia,CRO,1939,13,2019-01-07,-1,0,2102
48,Vasek Pospisil,Canada,CAN,1936,30,2021-02-08,-3,-5,1987
