rank,name,country_name,country_id,points,bestRank,bestRankDate,rankDiff,pointsDiff,bestPoints
1,Novak Djokovic,Serbia,SRB,2532,1,2011-03-21,0,0,2629
2,Rafael Nadal,Spain,ESP,2488,1,2008-06-16,0,0,2552
3,Roger Federer,Switzerland,SUI,2330,1,2003-08-11,0,0,2550
4,Andy Murray,United Kingdom,GBR,2285,2,2009-04-19,0,0,2500
5,Juan Martin Del Potro,Argentina,ARG,2265,3,2010-06-07,0,0,2331
6,Stan Wawrinka,Switzerland,SUI,2233,5,2014-02-17,0,0,2291
7,David Ferrer,Spain,ESP,2219,4,2007-11-19,0,0,2348
8,Tomas Berdych,Czech Republic,CZE,2200,5,2007-07-09,0,0,2263
9,Kei Nishikori,Japan,JPN,2174,4,2016-09-12,0,0,2296
10,Grigor Dimitrov,Bulgaria,BUL,2161,6,2018-01-29,0,0,2203
11,Ernests Gulbis,Latvia,LAT,2152,10,2014-06-09,0,0,2167
12,Milos Raonic,Canada,CAN,2146,5,2016-07-11,0,0,2269
13,Jo Wilfried Tsonga,France,FRA,2144,6,2009-03-02,0,0,2244
14,Marin Cilic,Croatia,CRO,2124,6,2014-09-08,0,0,2232
15,Gael Monfils,France,FRA,2101,7,2010-11-28,0,0,2189
16,Richard Gasquet,France,FRA,2101,9,2007-10-08,0,4,2196
17,John Isner,United States,USA,2080,10,2012-04-13,0,0,2147
18,Fabio Fognini,Italy,ITA,2065,14,2014-04-11,0,0,2112
19,Mardy Fish,United States,USA,2051,9,2011-08-21,0,0,2169
20,Kevin Anderson,South Africa,RSA,2050,6,2019-04-15,0,0,2181
21,Nicolas Almagro,Spain,ESP,2049,9,2012-07-23,0,0,2160
22,Tommy Haas,Germany,GER,2045,2,2002-01-28,0,0,2189
23,Feliciano Lopez,Spain,ESP,2040,16,2014-10-12,5,34,2074
24,Tommy Robredo,Spain,ESP,2037,10,2006-05-22,-1,0,2107
25,Alexandr Dolgopolov,Ukraine,UKR,2035,22,2014-04-14,-1,0,2057
26,Philipp Kohlschreiber,Germany,GER,2032,14,2016-05-02,-1,0,2117
27,Roberto Bautista Agut,Spain,ESP,2028,9,2019-07-15,-1,0,2135
28,Fernando Verdasco,Spain,ESP,2007,7,2009-05-04,-1,0,2204
29,Florian Mayer,Germany,GER,2002,22,2011-11-14,0,0,2044
30,Mikhail Youzhny,Russian Federation,RUS,1998,9,2007-06-11,0,0,2122
31,Radek Stepanek,Czech Republic,CZE,1995,10,2009-11-29,0,0,2136
32,Jeremy Chardy,France,FRA,1985,23,2015-09-14,1,9,2016
33,Guillermo Garcia Lopez,Spain,ESP,1980,30,2014-06-09,-1,-9,2009
34,Denis Istomin,Uzbekistan,UZB,1977,31,2014-07-14,3,17,1987
35,Martin Klizan,Slovakia,SVK,1966,26,2018-10-01,3,8,1998
36,Carlos Berlocq,Argentina,ARG,1961,33,2014-06-09,-2,-5,1966
37,Gilles Simon,France,FRA,1959,9,2009-01-11,-2,-6,2124
38,Sam Querrey,United States,USA,1956,18,2013-04-21,3,7,2068
39,Andreas Seppi,Italy,ITA,1956,21,2015-08-03,0,0,2030
40,Lleyton Hewitt,Australia,AUS,1956,1,2001-10-15,0,0,2295
41,Ivo Karlovic,Croatia,CRO,1955,17,2007-11-04,-5,-9,2061
42,Janko Tipsarevic,Serbia,SRB,1936,9,2012-08-13,1,0,2158
43,Marinko Matosevic,Australia,AUS,1936,38,2014-09-29,1,0,1948
44,Viktor Troicki,Serbia,SRB,1934,15,2011-04-03,1,-1,2091
45,Santiago Giraldo,Colombia,COL,1933,32,2014-05-11,-3,-10,1970
46,Bernard Tomic,Australia,AUS,1932,21,2015-03-23,2,2,2037
47,Marcel Granollers,Spain,ESP,1931,29,2013-11-04,-1,0,2004
48,Jerzy Janowicz,Poland,POL,1930,25,2014-02-17,-1,0,2027
49,Julien Benneteau,France,FRA,1928,25,2013-02-18,3,10,2027
50,Jurgen Melzer,Austria,AUT,1928,12,2011-01-31,-1,0,2110
51,Edouard Roger Vasselin,France,FRA,1925,40,2014-03-30,0,6,1947
52,Dmitry Tursunov,Russian Federation,RUS,1923,20,2006-10-02,-2,0,2042
53,Ivan Dodig,Croatia,CRO,1916,27,2013-10-07,0,0,2021
54,Steve Darcis,Belgium,BEL,1910,41,2017-04-14,0,0,1950
55,Leonardo Mayer,Argentina,ARG,1905,28,2014-08-11,0,0,1999
