rank,name,country_name,country_id,points,bestRank,bestRankDate,rankDiff,pointsDiff,bestPoints
1,Novak Djokovic,Serbia,SRB,2401,1,2011-03-21,0,0,2629
2,Rafael Nadal,Spain,ESP,2358,1,2008-06-16,0,0,2552
3,Daniil Medvedev,Russian Federation,RUS,2289,3,2021-09-13,0,0,2289
4,Alexander Zverev,Germany,GER,2261,4,2021-08-22,0,0,2261
5,Roger Federer,Switzerland,SUI,2260,1,2003-08-11,0,0,2550
6,Stefanos Tsitsipas,Greece,GRE,2202,4,2021-06-13,0,0,2258
7,Matteo Berrettini,Italy,ITA,2173,7,2021-07-12,0,0,2173
8,Andrey Rublev,Russian Federation,RUS,2144,5,2020-11-02,0,-3,2227
9,Dominic Thiem,Austria,AUT,2142,4,2020-02-03,0,0,2250
10,Casper Ruud,Norway,NOR,2101,10,2021-10-04,4,30,2101
11,Pablo Carreno Busta,Spain,ESP,2094,10,2021-07-31,-1,0,2121
12,Milos Raonic,Canada,CAN,2077,5,2016-07-11,0,0,2269
13,Kei Nishikori,Japan,JPN,2074,4,2016-09-12,0,0,2296
14,Andy Murray,United Kingdom,GBR,2073,2,2009-04-19,-3,-6,2500
15,Jannik Sinner,Italy,ITA,2066,14,2021-06-13,3,24,2066
16,Felix Auger Aliassime,Canada,CAN,2057,15,2021-09-13,-1,0,2057
17,Stan Wawrinka,Switzerland,SUI,2055,5,2014-02-17,-1,0,2291
18,John Isner,United States,USA,2039,10,2012-04-13,1,0,2147
19,Hubert Hurkacz,Poland,POL,2037,17,2021-09-27,-2,-7,2047
20,Nick Kyrgios,Australia,AUS,2032,10,2017-04-14,0,0,2176
21,Diego Sebastian Schwartzman,Argentina,ARG,2028,11,2020-11-02,0,3,2097
22,Cameron Norrie,United Kingdom,GBR,2025,13,2021-10-18,4,28,2077
23,Roberto Bautista Agut,Spain,ESP,2013,9,2019-07-15,-1,0,2135
24,Karen Khachanov,Russian Federation,RUS,2013,10,2019-02-08,-1,0,2137
25,Denis Shapovalov,Canada,CAN,2008,15,2021-07-12,-1,-3,2075
26,Kevin Anderson,South Africa,RSA,1999,6,2019-04-15,-1,-10,2181
27,Borna Coric,Croatia,CRO,1994,13,2019-01-07,0,0,2102
28,Reilly Opelka,United States,USA,1987,28,2021-09-13,0,0,1987
29,Grigor Dimitrov,Bulgaria,BUL,1984,6,2018-01-29,2,11,2203
30,Ilya Ivashka,Belarus,BLR,1984,29,2021-09-13,-1,1,1984
31,Gael Monfils,France,FRA,1978,7,2010-11-28,4,10,2189
32,Lloyd George Muirhead Harris,South Africa,RSA,1976,30,2021-09-13,-2,-6,1982
33,Marin Cilic,Croatia,CRO,1972,6,2014-09-08,-1,0,2232
34,Daniel Evans,United Kingdom,GBR,1971,25,2021-02-08,-1,2,2002
35,Frances Tiafoe,United States,USA,1965,35,2021-10-04,1,0,1972
36,Lorenzo Sonego,Italy,ITA,1962,25,2021-05-24,3,11,1996
37,Ugo Humbert,France,FRA,1962,25,2021-01-11,0,0,2002
38,Marton Fucsovics,Hungary,HUN,1961,21,2021-04-04,-4,-8,2018
39,Christian Garin,Chile,CHI,1956,26,2021-06-13,-1,0,2010
40,Carlos Alcaraz Garfia,Spain,ESP,1951,40,2021-09-27,0,0,1951
41,Sebastian Korda,United States,USA,1949,36,2021-08-22,0,-2,1966
42,Aslan Karatsev,Russian Federation,RUS,1937,26,2021-05-30,6,12,1996
43,Alex De Minaur,Australia,AUS,1936,18,2021-01-12,-1,-10,2061
44,Jeremy Chardy,France,FRA,1932,23,2015-09-14,1,0,2016
45,Alejandro Davidovich Fokina,Spain,ESP,1926,24,2021-06-13,-2,-12,1998
46,Jo Wilfried Tsonga,France,FRA,1926,6,2009-03-02,1,0,2244
47,Fabio Fognini,Italy,ITA,1926,14,2014-04-11,-3,-11,2112
48,Alexander Bublik,Kazakhstan,KAZ,1923,41,2021-05-09,1,0,1946
49,Nikoloz Basilashvili,Georgia,GEO,1923,30,2019-01-07,-3,-9,1990
50,Richard Gasquet,France,FRA,1921,9,2007-10-08,0,0,2196
51,David Goffin,Belgium,BEL,1920,8,2018-05-21,1,0,2165
52,Taylor Harry Fritz,United States,USA,1917,29,2019-08-05,-1,-4,1999
53,Filip Krajinovic,Serbia,SRB,1915,25,2020-08-31,2,10,2033
54,Marcos Giron,United States,USA,1907,54,2021-10-04,10,19,1907
55,Dominik Koepfer,Germany,GER,1904,53,2021-08-29,-1,-7,1911
56,Vasek Pospisil,Canada,CAN,1903,30,2021-02-08,-3,-11,1987
57,Mackenzie Mcdonald,United States,USA,1902,54,2021-10-18,-1,0,1910
58,Jack Sock,United States,USA,1896,13,2017-03-20,-1,0,2144
59,Soon Woo Kwon,"Korea, Republic of",KOR,1895,58,2021-09-27,-1,0,1895
