rank,name,country_name,country_id,points,bestRank,bestRankDate,rankDiff,pointsDiff,bestPoints
1,Novak Djokovic,Serbia,SRB,2565,1,2011-03-21,0,0,2629
2,Roger Federer,Switzerland,SUI,2387,1,2003-08-11,0,0,2550
3,Andy Murray,United Kingdom,GBR,2374,2,2009-04-19,0,0,2500
4,Rafael Nadal,Spain,ESP,2332,1,2008-06-16,0,0,2552
5,Stan Wawrinka,Switzerland,SUI,2264,5,2014-02-17,0,0,2291
6,Kei Nishikori,Japan,JPN,2257,4,2016-09-12,0,0,2296
7,Tomas Berdych,Czech Republic,CZE,2238,5,2007-07-09,0,0,2263
8,David Ferrer,Spain,ESP,2222,4,2007-11-19,0,-14,2348
9,Juan Martin Del Potro,Argentina,ARG,2218,3,2010-06-07,0,0,2331
10,Milos Raonic,Canada,CAN,2189,5,2016-07-11,0,0,2269
11,Jo Wilfried Tsonga,France,FRA,2167,6,2009-03-02,0,0,2244
12,Gael Monfils,France,FRA,2151,7,2010-11-28,0,0,2189
13,Marin Cilic,Croatia,CRO,2124,6,2014-09-08,0,0,2232
14,Richard Gasquet,France,FRA,2122,9,2007-10-08,0,0,2196
15,Grigor Dimitrov,Bulgaria,BUL,2115,6,2018-01-29,0,0,2203
16,Kevin Anderson,South Africa,RSA,2089,6,2019-04-15,0,0,2181
17,Gilles Simon,France,FRA,2079,9,2009-01-11,0,-3,2124
18,John Isner,United States,USA,2070,10,2012-04-13,0,0,2147
19,Jack Sock,United States,USA,2028,13,2017-03-20,1,0,2144
20,Viktor Troicki,Serbia,SRB,2025,15,2011-04-03,-1,-12,2091
21,Tommy Robredo,Spain,ESP,2017,10,2006-05-22,1,0,2107
22,Nicolas Almagro,Spain,ESP,2014,9,2012-07-23,-1,-12,2160
23,Roberto Bautista Agut,Spain,ESP,2007,9,2019-07-15,0,0,2135
24,Tommy Haas,Germany,GER,2006,2,2002-01-28,0,0,2189
25,Philipp Kohlschreiber,Germany,GER,2002,14,2016-05-02,1,0,2117
26,David Goffin,Belgium,BEL,1993,8,2018-05-21,1,0,2165
27,Alexandr Dolgopolov,Ukraine,UKR,1992,22,2014-04-14,3,18,2057
28,Fernando Verdasco,Spain,ESP,1991,7,2009-05-04,0,0,2204
29,Andreas Seppi,Italy,ITA,1991,21,2015-08-03,-4,-11,2030
30,Juan Monaco,Argentina,ARG,1976,12,2012-07-23,-1,-12,2125
31,Sam Querrey,United States,USA,1972,18,2013-04-21,15,27,2068
32,Nick Kyrgios,Australia,AUS,1971,10,2017-04-14,0,0,2176
33,Guillermo Garcia Lopez,Spain,ESP,1970,30,2014-06-09,0,0,2009
34,Gilles Muller,Luxembourg,LUX,1969,18,2017-07-24,0,0,2098
35,Jeremy Chardy,France,FRA,1968,23,2015-09-14,1,0,2016
36,Leonardo Mayer,Argentina,ARG,1967,28,2014-08-11,-1,-2,1999
37,Feliciano Lopez,Spain,ESP,1965,16,2014-10-12,-6,-8,2074
38,Dominic Thiem,Austria,AUT,1958,4,2020-02-03,0,-4,2250
39,Bernard Tomic,Australia,AUS,1958,21,2015-03-23,2,0,2037
40,Pablo Cuevas,Uruguay,URU,1957,26,2016-05-09,0,-2,2004
41,Thomaz Bellucci,Brazil,BRA,1954,33,2012-07-23,-4,-13,1996
42,Simone Bolelli,Italy,ITA,1953,39,2015-08-10,5,10,1959
43,Florian Mayer,Germany,GER,1952,22,2011-11-14,-1,0,2044
44,Ivo Karlovic,Croatia,CRO,1952,17,2007-11-04,-1,0,2061
45,Fabio Fognini,Italy,ITA,1952,14,2014-04-11,-1,0,2112
46,Martin Klizan,Slovakia,SVK,1951,26,2018-10-01,-7,-9,1998
47,Jerzy Janowicz,Poland,POL,1949,25,2014-02-17,-2,0,2027
48,Radek Stepanek,Czech Republic,CZE,1941,10,2009-11-29,0,0,2136
49,Marcos Baghdatis,Cyprus,CYP,1939,9,2007-08-20,6,29,2098
50,Denis Istomin,Uzbekistan,UZB,1928,31,2014-07-14,34,82,1987
51,Steve Johnson,United States,USA,1925,21,2017-04-17,-2,-10,2042
52,Julien Benneteau,France,FRA,1923,25,2013-02-18,-1,0,2027
53,Vasek Pospisil,Canada,CAN,1916,30,2021-02-08,-3,-9,1987
54,Ernests Gulbis,Latvia,LAT,1913,10,2014-06-09,-2,0,2167
55,Borna Coric,Croatia,CRO,1910,13,2019-01-07,-1,0,2102
56,Marcel Granollers,Spain,ESP,1910,29,2013-11-04,0,4,2004
57,Pablo Andujar,Spain,ESP,1903,49,2014-10-27,-4,-8,1929
58,Nicolas Mahut,France,FRA,1902,35,2016-10-10,-1,0,1970
59,Yen Hsun Lu,"Taiwan, Province of China",TPE,1899,50,2014-08-24,6,22,1922
60,Lleyton Hewitt,Australia,AUS,1896,1,2001-10-15,-2,0,2295
61,Sergiy Stakhovsky,Ukraine,UKR,1888,44,2010-08-29,8,15,1947
62,Teymuraz Gabashvili,Russian Federation,RUS,1885,55,2016-01-18,-2,0,1910
63,Joao Sousa,Portugal,POR,1883,32,2016-02-01,-1,3,1974
64,Donald Young,United States,USA,1879,34,2017-04-03,-5,-7,1976
65,Andrey Kuznetsov,Russian Federation,RUS,1878,30,2016-09-23,-1,0,1998
66,Santiago Giraldo,Colombia,COL,1878,32,2014-05-11,-3,0,1970
67,Lukas Rosol,Czech Republic,CZE,1875,29,2014-08-24,-1,0,1982
68,Ivan Dodig,Croatia,CRO,1875,27,2013-10-07,-1,0,2021
69,Janko Tipsarevic,Serbia,SRB,1874,9,2012-08-13,-1,0,2158
70,Federico Delbonis,Argentina,ARG,1872,41,2016-04-11,0,0,1953
71,Carlos Berlocq,Argentina,ARG,1871,33,2014-06-09,1,0,1966
72,Ryan Harrison,United States,USA,1868,38,2017-02-27,2,0,1953
73,Adrian Mannarino,France,FRA,1867,29,2018-01-15,3,2,2004
74,Benjamin Becker,Germany,GER,1863,50,2015-02-02,3,0,1917
