rank,name,country_name,country_id,points,bestRank,bestRankDate,rankDiff,pointsDiff,bestPoints
1,Novak Djokovic,Serbia,SRB,2384,1,2011-03-21,0,2,2629
2,Rafael Nadal,Spain,ESP,2376,1,2008-06-16,0,0,2552
3,Roger Federer,Switzerland,SUI,2286,1,2003-08-11,0,0,2550
4,Daniil Medvedev,Russian Federation,RUS,2240,4,2019-10-14,0,0,2289
5,Stefanos Tsitsipas,Greece,GRE,2220,5,2021-04-26,0,0,2220
6,Alexander Zverev,Germany,GER,2200,5,2017-08-14,0,0,2231
7,Andrey Rublev,Russian Federation,RUS,2189,5,2020-11-02,0,0,2227
8,Dominic Thiem,Austria,AUT,2179,4,2020-02-03,0,0,2250
9,Andy Murray,United Kingdom,GBR,2121,2,2009-04-19,0,0,2500
10,Matteo Berrettini,Italy,ITA,2097,10,2021-05-09,0,0,2102
11,Milos Raonic,Canada,CAN,2093,5,2016-07-11,0,0,2269
12,Nick Kyrgios,Australia,AUS,2079,10,2017-04-14,0,0,2176
13,Pablo Carreno Busta,Spain,ESP,2069,11,2021-04-26,0,0,2085
14,Roberto Bautista Agut,Spain,ESP,2068,9,2019-07-15,0,0,2135
15,Stan Wawrinka,Switzerland,SUI,2059,5,2014-02-17,0,0,2291
16,Casper Ruud,Norway,NOR,2057,16,2021-05-23,0,0,2057
17,Kei Nishikori,Japan,JPN,2050,4,2016-09-12,0,0,2296
18,Jannik Sinner,Italy,ITA,2049,15,2021-04-26,0,0,2062
19,Kevin Anderson,South Africa,RSA,2045,6,2019-04-15,0,0,2181
20,Grigor Dimitrov,Bulgaria,BUL,2023,6,2018-01-29,0,0,2203
21,John Isner,United States,USA,2007,10,2012-04-13,0,0,2147
22,Denis Shapovalov,Canada,CAN,2004,16,2019-11-26,0,0,2075
23,Diego Sebastian Schwartzman,Argentina,ARG,2001,11,2020-11-02,0,0,2097
24,Borna Coric,Croatia,CRO,1997,13,2019-01-07,0,-1,2102
