rank,name,country_name,country_id,points,bestRank,bestRankDate,rankDiff,pointsDiff,bestPoints
1,Roger Federer,Switzerland,SUI,2412,1,2003-08-11,0,0,2550
2,Rafael Nadal,Spain,ESP,2409,1,2008-06-16,0,0,2552
3,Novak Djokovic,Serbia,SRB,2309,1,2011-03-21,0,11,2629
4,Andy Murray,United Kingdom,GBR,2281,2,2009-04-19,0,0,2500
5,Juan Martin Del Potro,Argentina,ARG,2242,3,2010-06-07,0,0,2331
6,Robin Soderling,Sweden,SWE,2234,4,2011-04-03,0,0,2271
7,Gael Monfils,France,FRA,2166,7,2010-11-28,0,-2,2189
8,David Nalbandian,Argentina,ARG,2159,3,2006-05-22,0,0,2196
9,David Ferrer,Spain,ESP,2155,4,2007-11-19,0,0,2348
10,Andy Roddick,United States,USA,2154,1,2003-09-08,0,0,2274
11,Mardy Fish,United States,USA,2122,9,2011-08-21,0,0,2169
12,Jo Wilfried Tsonga,France,FRA,2112,6,2009-03-02,0,0,2244
13,Jurgen Melzer,Austria,AUT,2103,12,2011-01-31,0,0,2110
14,Nikolay Davydenko,Russian Federation,RUS,2099,5,2008-04-21,0,0,2291
15,Stan Wawrinka,Switzerland,SUI,2099,5,2014-02-17,0,0,2291
16,Fernando Verdasco,Spain,ESP,2087,7,2009-05-04,0,0,2204
17,Mikhail Youzhny,Russian Federation,RUS,2078,9,2007-06-11,0,0,2122
18,Tomas Berdych,Czech Republic,CZE,2077,5,2007-07-09,0,0,2263
19,Lleyton Hewitt,Australia,AUS,2072,1,2001-10-15,0,0,2295
20,Fernando Gonzalez,Chile,CHI,2057,3,2006-10-23,1,0,2209
21,Gilles Simon,France,FRA,2054,9,2009-01-11,-1,-5,2124
22,Juan Carlos Ferrero,Spain,ESP,2039,3,2003-06-09,0,0,2225
23,Marin Cilic,Croatia,CRO,2038,6,2014-09-08,0,0,2232
24,Richard Gasquet,France,FRA,2036,9,2007-10-08,0,0,2196
25,Viktor Troicki,Serbia,SRB,2035,15,2011-04-03,4,12,2091
26,Mario Ancic,Croatia,CRO,2034,6,2006-09-11,-1,0,2133
27,Nicolas Almagro,Spain,ESP,2030,9,2012-07-23,-1,0,2160
28,Radek Stepanek,Czech Republic,CZE,2029,10,2009-11-29,-1,0,2136
29,Ivan Ljubicic,Croatia,CRO,2027,3,2006-03-31,-1,0,2206
30,Tommy Haas,Germany,GER,2019,2,2002-01-28,0,-2,2189
31,Philipp Kohlschreiber,Germany,GER,2013,14,2016-05-02,0,0,2117
32,Marcos Baghdatis,Cyprus,CYP,2008,9,2007-08-20,1,0,2098
33,Ernests Gulbis,Latvia,LAT,2006,10,2014-06-09,1,0,2167
34,Sam Querrey,United States,USA,2005,18,2013-04-21,1,0,2068
35,John Isner,United States,USA,2004,10,2012-04-13,1,0,2147
36,Ivo Karlovic,Croatia,CRO,2003,17,2007-11-04,1,-1,2061
37,Albert Montanes,Spain,ESP,2001,29,2010-07-19,1,0,2019
38,Michael Llodra,France,FRA,2000,31,2011-04-03,-6,-12,2012
39,Juan Monaco,Argentina,ARG,1998,12,2012-07-23,0,0,2125
40,Guillermo Garcia Lopez,Spain,ESP,1991,30,2014-06-09,0,0,2009
41,Julien Benneteau,France,FRA,1988,25,2013-02-18,0,0,2027
42,Janko Tipsarevic,Serbia,SRB,1966,9,2012-08-13,0,-6,2158
43,Jeremy Chardy,France,FRA,1960,23,2015-09-14,0,0,2016
44,Tommy Robredo,Spain,ESP,1952,10,2006-05-22,0,0,2107
45,Jarkko Nieminen,Finland,FIN,1948,19,2006-03-17,0,0,2034
46,Juan Ignacio Chela,Argentina,ARG,1947,15,2004-04-26,0,0,2049
47,Nicolas Kiefer,Germany,GER,1942,5,2000-02-14,0,0,2135
48,Feliciano Lopez,Spain,ESP,1940,16,2014-10-12,0,0,2074
49,Mikhail Kukushkin,Kazakhstan,KAZ,1930,41,2019-02-25,0,0,1943
50,Thomaz Bellucci,Brazil,BRA,1928,33,2012-07-23,0,0,1996
51,James Blake,United States,USA,1926,4,2007-01-15,0,0,2164
52,Florian Mayer,Germany,GER,1921,22,2011-11-14,0,0,2044
53,Philipp Petzschner,Germany,GER,1908,36,2011-06-19,0,0,1976
54,Andrey Golubev,Kazakhstan,KAZ,1907,53,2011-01-09,0,0,1930
55,Xavier Malisse,Belgium,BEL,1905,24,2002-03-11,0,0,2035
56,Marcel Granollers,Spain,ESP,1903,29,2013-11-04,0,0,2004
57,Sergiy Stakhovsky,Ukraine,UKR,1901,44,2010-08-29,0,0,1947
58,Thiemo De Bakker,Netherlands,NED,1901,46,2010-09-24,0,0,1945
59,Andreas Seppi,Italy,ITA,1899,21,2015-08-03,0,0,2030
60,Denis Istomin,Uzbekistan,UZB,1896,31,2014-07-14,0,0,1987
61,Alexandr Dolgopolov,Ukraine,UKR,1892,22,2014-04-14,0,0,2057
62,Benjamin Becker,Germany,GER,1891,50,2015-02-02,0,0,1917
63,Potito Starace,Italy,ITA,1891,46,2007-08-05,0,0,1937
64,Dmitry Tursunov,Russian Federation,RUS,1885,20,2006-10-02,0,0,2042
65,Paul Henri Mathieu,France,FRA,1884,13,2007-08-12,0,0,2082
66,Victor Hanescu,Romania,ROU,1882,41,2010-06-20,0,0,1958
67,Daniel Gimeno Traver,Spain,ESP,1876,62,2010-09-13,0,0,1888
