rank,name,country_name,country_id,points,bestRank,bestRankDate,rankDiff,pointsDiff,bestPoints
1,Novak Djokovic,Serbia,SRB,2500,1,2011-03-21,0,-18,2629
2,Rafael Nadal,Spain,ESP,2458,1,2008-06-16,0,0,2552
3,Andy Murray,United Kingdom,GBR,2401,2,2009-04-19,1,25,2500
4,Roger Federer,Switzerland,SUI,2396,1,2003-08-11,-1,0,2550
5,David Ferrer,Spain,ESP,2329,4,2007-11-19,0,2,2348
6,Juan Martin Del Potro,Argentina,ARG,2305,3,2010-06-07,0,-17,2331
7,Tomas Berdych,Czech Republic,CZE,2252,5,2007-07-09,0,-6,2263
8,Jo Wilfried Tsonga,France,FRA,2197,6,2009-03-02,0,-5,2244
9,Richard Gasquet,France,FRA,2162,9,2007-10-08,0,26,2196
10,Marin Cilic,Croatia,CRO,2128,6,2014-09-08,2,20,2232
11,Stan Wawrinka,Switzerland,SUI,2122,5,2014-02-17,-1,0,2291
12,Nicolas Almagro,Spain,ESP,2108,9,2012-07-23,-1,-3,2160
13,Milos Raonic,Canada,CAN,2105,5,2016-07-11,0,-3,2269
14,Mardy Fish,United States,USA,2101,9,2011-08-21,0,0,2169
15,Kei Nishikori,Japan,JPN,2100,4,2016-09-12,0,3,2296
16,Tommy Haas,Germany,GER,2091,2,2002-01-28,5,37,2189
17,Gilles Simon,France,FRA,2087,9,2009-01-11,0,10,2124
18,Andy Roddick,United States,USA,2082,1,2003-09-08,-2,-1,2274
19,Janko Tipsarevic,Serbia,SRB,2070,9,2012-08-13,-1,2,2158
20,Gael Monfils,France,FRA,2065,7,2010-11-28,-1,0,2189
21,Sam Querrey,United States,USA,2064,18,2013-04-21,-1,5,2068
22,Kevin Anderson,South Africa,RSA,2042,6,2019-04-15,0,-5,2181
23,John Isner,United States,USA,2038,10,2012-04-13,0,-2,2147
24,Radek Stepanek,Czech Republic,CZE,2027,10,2009-11-29,1,0,2136
25,Andreas Seppi,Italy,ITA,2025,21,2015-08-03,1,9,2030
26,David Nalbandian,Argentina,ARG,2020,3,2006-05-22,-2,-12,2196
27,Marcos Baghdatis,Cyprus,CYP,2004,9,2007-08-20,3,0,2098
28,Nikolay Davydenko,Russian Federation,RUS,2000,5,2008-04-21,1,-6,2291
29,Ernests Gulbis,Latvia,LAT,1994,10,2014-06-09,4,0,2167
30,Philipp Kohlschreiber,Germany,GER,1993,14,2016-05-02,-3,-14,2117
