rank,name,country_name,country_id,points,bestRank,bestRankDate,rankDiff,pointsDiff,bestPoints
1,Roger Federer,Switzerland,SUI,2336,1,2003-08-11,0,0,2550
2,Andy Roddick,United States,USA,2229,1,2003-09-08,0,0,2274
3,Guillermo Coria,Argentina,ARG,2206,2,2004-06-07,0,-8,2229
4,Carlos Moya,Spain,ESP,2190,3,2002-12-06,0,0,2190
5,Lleyton Hewitt,Australia,AUS,2183,1,2001-10-15,0,0,2295
6,Andre Agassi,United States,USA,2170,1,1995-03-24,0,0,2376
7,David Nalbandian,Argentina,ARG,2140,3,2006-05-22,0,0,2196
8,Tim Henman,United Kingdom,GBR,2115,4,2002-04-12,0,0,2165
9,Juan Carlos Ferrero,Spain,ESP,2112,3,2003-06-09,0,0,2225
10,Gaston Gaudio,Argentina,ARG,2094,8,2005-07-11,0,0,2137
11,Marat Safin,Russian Federation,RUS,2070,2,2000-09-18,0,0,2218
12,Gustavo Kuerten,Brazil,BRA,2068,1,2001-06-11,0,0,2281
13,Fernando Gonzalez,Chile,CHI,2052,3,2006-10-23,0,0,2209
14,Tommy Robredo,Spain,ESP,2048,10,2006-05-22,0,2,2107
15,Nicolas Escude,France,FRA,2043,13,2002-03-04,0,0,2091
16,Andrei Pavel,Romania,ROU,2035,11,2004-05-17,0,0,2061
17,Juan Ignacio Chela,Argentina,ARG,2033,15,2004-04-26,1,0,2049
18,Sebastien Grosjean,France,FRA,2030,4,2003-01-27,1,0,2133
19,Jiri Novak,Czech Republic,CZE,2028,6,2002-10-21,1,0,2112
20,Rainer Schuettler,Germany,GER,2022,8,2003-10-13,-3,-12,2123
21,Tommy Haas,Germany,GER,2015,2,2002-01-28,0,0,2189
22,Paradorn Srichaphan,Thailand,THA,2011,9,2003-01-06,7,37,2103
23,Mardy Fish,United States,USA,2002,9,2011-08-21,-1,0,2169
24,Ivan Ljubicic,Croatia,CRO,1989,3,2006-03-31,-1,0,2206
25,Younes El Aynaoui,Morocco,MAR,1988,13,2002-05-06,-1,0,2095
26,Nicolas Massu,Chile,CHI,1978,13,2003-10-20,0,0,2053
27,Albert Costa,Spain,ESP,1977,4,1998-06-08,0,0,2154
28,Taylor Dent,United States,USA,1976,16,2003-10-27,3,6,2040
29,Guillermo Canas,Argentina,ARG,1975,8,2002-08-05,-1,0,2113
30,Jonas Bjorkman,Sweden,SWE,1974,3,1997-12-05,-5,-9,2174
31,Nicolas Kiefer,Germany,GER,1972,5,2000-02-14,-1,0,2135
32,Thomas Johansson,Sweden,SWE,1965,7,2002-02-15,19,27,2136
33,Jarkko Nieminen,Finland,FIN,1965,19,2006-03-17,2,0,2034
34,Mikhail Youzhny,Russian Federation,RUS,1964,9,2007-06-11,-2,-4,2122
35,Agustin Calleri,Argentina,ARG,1963,19,2003-05-19,3,0,2043
36,Vincent Spadea,United States,USA,1962,20,1999-09-20,-2,-3,2034
37,James Blake,United States,USA,1959,4,2007-01-15,2,0,2164
38,Todd Martin,United States,USA,1959,2,1999-01-18,2,0,2188
