rank,name,country_name,country_id,points,bestRank,bestRankDate,rankDiff,pointsDiff,bestPoints
1,Roger Federer,Switzerland,SUI,2383,1,2003-08-11,0,-16,2550
2,Rafael Nadal,Spain,ESP,2329,1,2008-06-16,2,1,2552
3,Novak Djokovic,Serbia,SRB,2320,1,2011-03-21,-1,-17,2629
4,Andy Murray,United Kingdom,GBR,2314,2,2009-04-19,-1,-16,2500
5,Juan Martin Del Potro,Argentina,ARG,2281,3,2010-06-07,0,0,2331
6,Nikolay Davydenko,Russian Federation,RUS,2267,5,2008-04-21,0,0,2291
7,Andy Roddick,United States,USA,2255,1,2003-09-08,0,34,2274
8,Robin Soderling,Sweden,SWE,2207,4,2011-04-03,0,6,2271
9,Marin Cilic,Croatia,CRO,2161,6,2014-09-08,0,0,2232
10,Jo Wilfried Tsonga,France,FRA,2149,6,2009-03-02,0,13,2244
11,Fernando Gonzalez,Chile,CHI,2136,3,2006-10-23,0,1,2209
12,Fernando Verdasco,Spain,ESP,2132,7,2009-05-04,0,10,2204
13,David Nalbandian,Argentina,ARG,2113,3,2006-05-22,0,6,2196
14,Mikhail Youzhny,Russian Federation,RUS,2111,9,2007-06-11,0,10,2122
15,Tomas Berdych,Czech Republic,CZE,2106,5,2007-07-09,8,46,2263
16,David Ferrer,Spain,ESP,2101,4,2007-11-19,0,9,2348
17,Lleyton Hewitt,Australia,AUS,2098,1,2001-10-15,-2,0,2295
18,Juan Carlos Ferrero,Spain,ESP,2086,3,2003-06-09,0,2,2225
19,Gael Monfils,France,FRA,2080,7,2010-11-28,0,0,2189
20,Radek Stepanek,Czech Republic,CZE,2076,10,2009-11-29,0,0,2136
21,Ivan Ljubicic,Croatia,CRO,2074,3,2006-03-31,-4,-16,2206
22,Marcos Baghdatis,Cyprus,CYP,2071,9,2007-08-20,-1,-3,2098
23,Mario Ancic,Croatia,CRO,2053,6,2006-09-11,-1,-14,2133
24,Stan Wawrinka,Switzerland,SUI,2049,5,2014-02-17,0,-5,2291
25,Juan Monaco,Argentina,ARG,2038,12,2012-07-23,0,-4,2125
26,Jurgen Melzer,Austria,AUT,2036,12,2011-01-31,0,-4,2110
27,Tommy Haas,Germany,GER,2029,2,2002-01-28,0,-1,2189
28,Nicolas Almagro,Spain,ESP,2024,9,2012-07-23,6,15,2160
29,Ivo Karlovic,Croatia,CRO,2017,17,2007-11-04,0,-4,2061
30,Sam Querrey,United States,USA,2016,18,2013-04-21,-2,-13,2068
31,John Isner,United States,USA,2016,10,2012-04-13,0,-4,2147
32,Tommy Robredo,Spain,ESP,2008,10,2006-05-22,0,-10,2107
