rank,name,country_name,country_id,points,bestRank,bestRankDate,rankDiff,pointsDiff,bestPoints
1,Roger Federer,Switzerland,SUI,2505,1,2003-08-11,0,11,2550
2,Rafael Nadal,Spain,ESP,2281,1,2008-06-16,0,-15,2552
3,Ivan Ljubicic,Croatia,CRO,2193,3,2006-03-31,2,19,2206
4,Andre Agassi,United States,USA,2177,1,1995-03-24,0,0,2376
5,David Nalbandian,Argentina,ARG,2174,3,2006-05-22,1,10,2196
6,Lleyton Hewitt,Australia,AUS,2172,1,2001-10-15,-3,-14,2295
7,Andy Roddick,United States,USA,2154,1,2003-09-08,0,-6,2274
8,James Blake,United States,USA,2134,4,2007-01-15,1,12,2164
9,Marat Safin,Russian Federation,RUS,2123,2,2000-09-18,-1,-13,2218
10,Tommy Haas,Germany,GER,2094,2,2002-01-28,0,3,2189
11,Nikolay Davydenko,Russian Federation,RUS,2070,5,2008-04-21,0,2,2291
12,Guillermo Canas,Argentina,ARG,2066,8,2002-08-05,0,-1,2113
13,Nicolas Kiefer,Germany,GER,2058,5,2000-02-14,1,4,2135
14,Sebastien Grosjean,France,FRA,2051,4,2003-01-27,-1,-8,2133
15,Carlos Moya,Spain,ESP,2046,3,2002-12-06,0,7,2190
16,Thomas Johansson,Sweden,SWE,2037,7,2002-02-15,1,0,2136
17,Fernando Gonzalez,Chile,CHI,2035,3,2006-10-23,-1,-3,2209
18,Mario Ancic,Croatia,CRO,2033,6,2006-09-11,3,16,2133
19,Jarkko Nieminen,Finland,FIN,2027,19,2006-03-17,0,-2,2034
20,Guillermo Coria,Argentina,ARG,2025,2,2004-06-07,-2,-5,2229
21,Radek Stepanek,Czech Republic,CZE,2021,10,2009-11-29,3,12,2136
22,Gaston Gaudio,Argentina,ARG,2011,8,2005-07-11,-2,-12,2137
23,Olivier Rochus,Belgium,BEL,2009,18,2006-05-08,4,7,2035
24,Tim Henman,United Kingdom,GBR,2006,4,2002-04-12,7,11,2165
25,Marcos Baghdatis,Cyprus,CYP,2005,9,2007-08-20,-2,-5,2098
26,Tomas Berdych,Czech Republic,CZE,2005,5,2007-07-09,0,2,2263
27,Juan Carlos Ferrero,Spain,ESP,1997,3,2003-06-09,-2,-11,2225
28,Dominik Hrbaty,Slovakia,SVK,1994,15,2005-12-09,-6,-16,2085
29,David Ferrer,Spain,ESP,1991,4,2007-11-19,17,50,2348
30,Fabrice Santoro,France,FRA,1988,17,2001-08-06,3,-1,2052
31,Igor Andreev,Russian Federation,RUS,1988,17,2008-09-08,-2,-9,2062
32,Richard Gasquet,France,FRA,1985,9,2007-10-08,-4,-13,2196
33,Paradorn Srichaphan,Thailand,THA,1979,9,2003-01-06,-3,-17,2103
34,Tommy Robredo,Spain,ESP,1978,10,2006-05-22,-2,-11,2107
35,Xavier Malisse,Belgium,BEL,1976,24,2002-03-11,-1,-4,2035
36,Dmitry Tursunov,Russian Federation,RUS,1966,20,2006-10-02,12,29,2042
37,Mikhail Youzhny,Russian Federation,RUS,1965,9,2007-06-11,-2,-11,2122
38,Greg Rusedski,United Kingdom,GBR,1964,3,1998-11-30,-1,0,2178
39,Robby Ginepri,United States,USA,1964,15,2005-09-12,-3,-7,2057
40,Juan Ignacio Chela,Argentina,ARG,1960,15,2004-04-26,3,15,2049
41,Robin Soderling,Sweden,SWE,1959,4,2011-04-03,-3,0,2271
42,Nicolas Massu,Chile,CHI,1957,13,2003-10-20,-2,8,2053
43,Taylor Dent,United States,USA,1951,16,2003-10-27,-4,0,2040
44,Fernando Verdasco,Spain,ESP,1949,7,2009-05-04,0,4,2204
45,Arnaud Clement,France,FRA,1949,10,2001-01-29,0,6,2107
46,Jose Acasuso,Argentina,ARG,1943,24,2006-08-14,-5,-5,2011
47,Max Mirnyi,Belarus,BLR,1941,20,2001-10-22,0,1,2041
48,Agustin Calleri,Argentina,ARG,1936,19,2003-05-19,22,49,2043
