rank,name,country_name,country_id,points,bestRank,bestRankDate,rankDiff,pointsDiff,bestPoints
1,Novak Djokovic,Serbia,SRB,2505,1,2011-03-21,0,0,2629
2,Rafael Nadal,Spain,ESP,2429,1,2008-06-16,0,0,2552
3,Roger Federer,Switzerland,SUI,2365,1,2003-08-11,0,0,2550
4,Andy Murray,United Kingdom,GBR,2324,2,2009-04-19,0,8,2500
5,Robin Soderling,Sweden,SWE,2249,4,2011-04-03,0,0,2271
6,Juan Martin Del Potro,Argentina,ARG,2235,3,2010-06-07,0,0,2331
7,Jo Wilfried Tsonga,France,FRA,2201,6,2009-03-02,0,0,2244
8,David Ferrer,Spain,ESP,2199,4,2007-11-19,0,0,2348
9,Mardy Fish,United States,USA,2162,9,2011-08-21,0,0,2169
10,Andy Roddick,United States,USA,2138,1,2003-09-08,0,0,2274
11,Gael Monfils,France,FRA,2128,7,2010-11-28,0,-7,2189
12,David Nalbandian,Argentina,ARG,2117,3,2006-05-22,0,0,2196
13,Tomas Berdych,Czech Republic,CZE,2108,5,2007-07-09,0,0,2263
14,Gilles Simon,France,FRA,2106,9,2009-01-11,0,0,2124
15,Richard Gasquet,France,FRA,2089,9,2007-10-08,0,0,2196
16,Janko Tipsarevic,Serbia,SRB,2085,9,2012-08-13,4,23,2158
17,Marin Cilic,Croatia,CRO,2079,6,2014-09-08,0,0,2232
18,Fernando Verdasco,Spain,ESP,2073,7,2009-05-04,0,0,2204
19,Nicolas Almagro,Spain,ESP,2073,9,2012-07-23,-3,-9,2160
20,John Isner,United States,USA,2072,10,2012-04-13,-1,0,2147
21,Stan Wawrinka,Switzerland,SUI,2060,5,2014-02-17,0,0,2291
22,Radek Stepanek,Czech Republic,CZE,2049,10,2009-11-29,0,0,2136
23,Feliciano Lopez,Spain,ESP,2040,16,2014-10-12,0,0,2074
24,Juan Carlos Ferrero,Spain,ESP,2039,3,2003-06-09,0,0,2225
25,Ivan Ljubicic,Croatia,CRO,2037,3,2006-03-31,0,0,2206
26,Viktor Troicki,Serbia,SRB,2019,15,2011-04-03,0,-1,2091
27,Mikhail Youzhny,Russian Federation,RUS,2014,9,2007-06-11,0,0,2122
28,Nikolay Davydenko,Russian Federation,RUS,2008,5,2008-04-21,2,4,2291
29,Alexandr Dolgopolov,Ukraine,UKR,2006,22,2014-04-14,-1,0,2057
30,Florian Mayer,Germany,GER,2005,22,2011-11-14,-1,0,2044
31,Fernando Gonzalez,Chile,CHI,2002,3,2006-10-23,0,0,2209
32,Lleyton Hewitt,Australia,AUS,1998,1,2001-10-15,0,0,2295
33,Juan Monaco,Argentina,ARG,1987,12,2012-07-23,0,0,2125
34,Tommy Robredo,Spain,ESP,1985,10,2006-05-22,0,0,2107
35,Kevin Anderson,South Africa,RSA,1985,6,2019-04-15,0,0,2181
36,Philipp Kohlschreiber,Germany,GER,1982,14,2016-05-02,0,0,2117
37,Jurgen Melzer,Austria,AUT,1971,12,2011-01-31,0,-7,2110
38,Julien Benneteau,France,FRA,1969,25,2013-02-18,0,0,2027
39,Marcos Baghdatis,Cyprus,CYP,1968,9,2007-08-20,8,28,2098
40,Ivo Karlovic,Croatia,CRO,1966,17,2007-11-04,0,0,2061
41,Michael Llodra,France,FRA,1962,31,2011-04-03,0,0,2012
42,Ernests Gulbis,Latvia,LAT,1956,10,2014-06-09,-3,-12,2167
43,Marcel Granollers,Spain,ESP,1951,29,2013-11-04,-1,0,2004
44,James Blake,United States,USA,1946,4,2007-01-15,-1,0,2164
45,Gilles Muller,Luxembourg,LUX,1945,18,2017-07-24,0,0,2098
46,Sam Querrey,United States,USA,1941,18,2013-04-21,0,0,2068
47,Robin Haase,Netherlands,NED,1939,44,2011-09-26,-3,-7,1946
48,Juan Ignacio Chela,Argentina,ARG,1937,15,2004-04-26,1,0,2049
49,Philipp Petzschner,Germany,GER,1932,36,2011-06-19,-1,-6,1976
50,Kei Nishikori,Japan,JPN,1928,4,2016-09-12,8,26,2296
51,Milos Raonic,Canada,CAN,1925,5,2016-07-11,0,0,2269
52,Donald Young,United States,USA,1919,34,2017-04-03,17,41,1976
53,Jarkko Nieminen,Finland,FIN,1919,19,2006-03-17,1,7,2034
54,Fabio Fognini,Italy,ITA,1915,14,2014-04-11,-4,-14,2112
55,Lukasz Kubot,Poland,POL,1913,52,2010-02-15,-3,-3,1916
56,Thomaz Bellucci,Brazil,BRA,1912,33,2012-07-23,-3,0,1996
57,Dmitry Tursunov,Russian Federation,RUS,1911,20,2006-10-02,-1,4,2042
58,Albert Montanes,Spain,ESP,1904,29,2010-07-19,-1,0,2019
59,Andreas Seppi,Italy,ITA,1899,21,2015-08-03,0,0,2030
60,Tommy Haas,Germany,GER,1899,2,2002-01-28,0,0,2189
61,Santiago Giraldo,Colombia,COL,1898,32,2014-05-11,2,4,1970
62,Xavier Malisse,Belgium,BEL,1897,24,2002-03-11,-1,0,2035
63,Ivan Dodig,Croatia,CRO,1897,27,2013-10-07,-8,-13,2021
64,Steve Darcis,Belgium,BEL,1887,41,2017-04-14,1,0,1950
65,Pablo Cuevas,Uruguay,URU,1886,26,2016-05-09,1,0,2004
66,Sergiy Stakhovsky,Ukraine,UKR,1883,44,2010-08-29,2,0,1947
67,Bernard Tomic,Australia,AUS,1881,21,2015-03-23,-5,-14,2037
68,Guillermo Garcia Lopez,Spain,ESP,1879,30,2014-06-09,-4,-10,2009
69,Alex Bogomolov Jr,Russian Federation,RUS,1875,47,2012-01-16,-2,-8,1938
70,Paul Henri Mathieu,France,FRA,1873,13,2007-08-12,0,-1,2082
71,Potito Starace,Italy,ITA,1868,46,2007-08-05,1,0,1937
72,Olivier Rochus,Belgium,BEL,1860,18,2006-05-08,2,0,2035
73,Taylor Dent,United States,USA,1859,16,2003-10-27,0,-1,2040
74,Pablo Andujar,Spain,ESP,1856,49,2014-10-27,-3,-13,1929
75,Jose Acasuso,Argentina,ARG,1853,24,2006-08-14,0,-1,2011
76,Igor Kunitsyn,Russian Federation,RUS,1852,71,2008-10-19,0,0,1868
77,Jeremy Chardy,France,FRA,1852,23,2015-09-14,0,0,2016
78,Yen Hsun Lu,"Taiwan, Province of China",TPE,1850,50,2014-08-24,2,5,1922
79,Simone Bolelli,Italy,ITA,1846,39,2015-08-10,4,3,1959
80,Benjamin Becker,Germany,GER,1846,50,2015-02-02,-1,0,1917
81,Ryan Harrison,United States,USA,1844,38,2017-02-27,-3,-6,1953
82,Nicolas Mahut,France,FRA,1844,35,2016-10-10,0,0,1970
83,Somdev Devvarman,India,IND,1841,59,2011-05-15,-2,-3,1901
84,Jan Hernych,Czech Republic,CZE,1838,68,2014-02-10,0,0,1882
85,Albert Ramos,Spain,ESP,1837,25,2017-05-01,3,8,2014
86,Victor Hanescu,Romania,ROU,1834,41,2010-06-20,0,0,1958
87,Denis Istomin,Uzbekistan,UZB,1832,31,2014-07-14,0,1,1987
88,Frederico Gil,Portugal,POR,1828,60,2011-04-25,1,0,1896
89,Alejandro Falla,Colombia,COL,1828,61,2010-08-08,1,0,1888
90,Carlos Berlocq,Argentina,ARG,1827,33,2014-06-09,1,0,1966
91,Michael Russell,United States,USA,1826,70,2012-08-26,2,0,1867
92,Thiemo De Bakker,Netherlands,NED,1825,46,2010-09-24,4,0,1945
93,Arnaud Clement,France,FRA,1824,10,2001-01-29,4,0,2107
94,Ryan Sweeting,United States,USA,1822,64,2011-04-17,-9,-15,1887
95,Grigor Dimitrov,Bulgaria,BUL,1821,6,2018-01-29,23,32,2203
96,Leonardo Mayer,Argentina,ARG,1818,28,2014-08-11,3,-1,1999
97,Michael Berrer,Germany,GER,1816,55,2010-04-26,8,12,1898
98,Igor Andreev,Russian Federation,RUS,1816,17,2008-09-08,-4,-10,2062
99,Robby Ginepri,United States,USA,1815,15,2005-09-12,1,0,2057
100,Mikhail Kukushkin,Kazakhstan,KAZ,1814,41,2019-02-25,-8,-12,1943
101,Dudi Sela,Israel,ISR,1814,45,2009-07-06,-3,-10,1941
102,Marco Chiudinelli,Switzerland,SUI,1813,62,2009-11-09,-7,-12,1882
103,James Ward,United Kingdom,GBR,1811,94,2011-06-13,-2,0,1822
104,Tobias Kamke,Germany,GER,1808,78,2014-01-06,-2,1,1840
105,Simon Greul,Germany,GER,1806,72,2010-03-22,-2,0,1855
