rank,name,country_name,country_id,points,bestRank,bestRankDate,rankDiff,pointsDiff,bestPoints
1,Novak Djokovic,Serbia,SRB,2446,1,2011-03-21,0,0,2629
2,Roger Federer,Switzerland,SUI,2427,1,2003-08-11,0,0,2550
3,Rafael Nadal,Spain,ESP,2388,1,2008-06-16,0,8,2552
4,Andy Murray,United Kingdom,GBR,2341,2,2009-04-19,0,0,2500
5,Robin Soderling,Sweden,SWE,2247,4,2011-04-03,0,-1,2271
6,David Ferrer,Spain,ESP,2231,4,2007-11-19,1,11,2348
7,Jo Wilfried Tsonga,France,FRA,2226,6,2009-03-02,-1,0,2244
8,Juan Martin Del Potro,Argentina,ARG,2196,3,2010-06-07,0,-17,2331
9,Tomas Berdych,Czech Republic,CZE,2169,5,2007-07-09,0,0,2263
10,Andy Roddick,United States,USA,2139,1,2003-09-08,0,0,2274
11,Gael Monfils,France,FRA,2127,7,2010-11-28,0,0,2189
12,Mardy Fish,United States,USA,2117,9,2011-08-21,0,0,2169
13,David Nalbandian,Argentina,ARG,2112,3,2006-05-22,0,0,2196
14,Richard Gasquet,France,FRA,2093,9,2007-10-08,0,0,2196
15,Janko Tipsarevic,Serbia,SRB,2091,9,2012-08-13,0,0,2158
16,Marin Cilic,Croatia,CRO,2088,6,2014-09-08,0,0,2232
17,John Isner,United States,USA,2088,10,2012-04-13,0,0,2147
18,Stan Wawrinka,Switzerland,SUI,2064,5,2014-02-17,0,0,2291
19,Feliciano Lopez,Spain,ESP,2063,16,2014-10-12,0,0,2074
20,Fernando Verdasco,Spain,ESP,2061,7,2009-05-04,0,0,2204
21,Gilles Simon,France,FRA,2046,9,2009-01-11,0,0,2124
22,Florian Mayer,Germany,GER,2044,22,2011-11-14,0,0,2044
23,Juan Carlos Ferrero,Spain,ESP,2043,3,2003-06-09,0,0,2225
24,Nicolas Almagro,Spain,ESP,2037,9,2012-07-23,0,0,2160
25,Ivan Ljubicic,Croatia,CRO,2035,3,2006-03-31,0,0,2206
26,Juan Monaco,Argentina,ARG,2031,12,2012-07-23,0,-3,2125
27,Radek Stepanek,Czech Republic,CZE,2022,10,2009-11-29,0,0,2136
28,Kevin Anderson,South Africa,RSA,2006,6,2019-04-15,0,0,2181
29,Kei Nishikori,Japan,JPN,2005,4,2016-09-12,0,0,2296
30,Fernando Gonzalez,Chile,CHI,2001,3,2006-10-23,0,0,2209
31,Mikhail Youzhny,Russian Federation,RUS,1998,9,2007-06-11,0,0,2122
32,Lleyton Hewitt,Australia,AUS,1997,1,2001-10-15,0,0,2295
33,Viktor Troicki,Serbia,SRB,1997,15,2011-04-03,0,0,2091
34,Nikolay Davydenko,Russian Federation,RUS,1994,5,2008-04-21,0,0,2291
35,Marcel Granollers,Spain,ESP,1990,29,2013-11-04,0,0,2004
36,Philipp Kohlschreiber,Germany,GER,1979,14,2016-05-02,0,0,2117
37,Alexandr Dolgopolov,Ukraine,UKR,1973,22,2014-04-14,0,0,2057
