rank,name,country_name,country_id,points,bestRank,bestRankDate,rankDiff,pointsDiff,bestPoints
1,Lleyton Hewitt,Australia,AUS,2291,1,2001-10-15,0,-4,2295
2,Andre Agassi,United States,USA,2231,1,1995-03-24,0,41,2376
3,Patrick Rafter,Australia,AUS,2170,2,1997-11-17,1,-1,2255
4,Pete Sampras,United States,USA,2162,1,1992-10-02,-1,-14,2407
5,Tim Henman,United Kingdom,GBR,2158,4,2002-04-12,0,-4,2165
6,Roger Federer,Switzerland,SUI,2149,1,2003-08-11,3,27,2550
7,Tommy Haas,Germany,GER,2132,2,2002-01-28,-1,-9,2189
8,Marat Safin,Russian Federation,RUS,2132,2,2000-09-18,0,9,2218
9,Gustavo Kuerten,Brazil,BRA,2125,1,2001-06-11,-2,0,2281
10,Thomas Johansson,Sweden,SWE,2118,7,2002-02-15,2,2,2136
11,Thomas Enqvist,Sweden,SWE,2110,5,1998-05-04,-1,-11,2173
12,Yevgeny Kafelnikov,Russian Federation,RUS,2109,2,1999-02-01,-1,-8,2216
13,Nicolas Escude,France,FRA,2080,13,2002-03-04,0,-8,2091
14,Todd Martin,United States,USA,2072,2,1999-01-18,0,-5,2188
15,Marcelo Rios,Chile,CHI,2068,2,1998-03-27,7,27,2241
16,Sebastien Grosjean,France,FRA,2066,4,2003-01-27,-1,-8,2133
17,Andy Roddick,United States,USA,2061,1,2003-09-08,-1,-12,2274
18,Juan Carlos Ferrero,Spain,ESP,2054,3,2003-06-09,-1,-5,2225
19,Greg Rusedski,United Kingdom,GBR,2048,3,1998-11-30,0,-1,2178
20,Mark Philippoussis,Australia,AUS,2044,4,2000-03-20,1,-1,2171
21,Younes El Aynaoui,Morocco,MAR,2043,13,2002-05-06,-3,-14,2095
22,Jiri Novak,Czech Republic,CZE,2039,6,2002-10-21,-2,-8,2112
23,Alex Corretja,Spain,ESP,2026,3,2000-08-07,0,3,2182
24,Nicolas Lapentti,Ecuador,ECU,2014,7,1999-11-08,6,19,2108
25,Rainer Schuettler,Germany,GER,2008,8,2003-10-13,0,-11,2123
26,Fabrice Santoro,France,FRA,2007,17,2001-08-06,-2,-13,2052
27,Albert Costa,Spain,ESP,1995,4,1998-06-08,-1,-13,2154
28,Juan Ignacio Chela,Argentina,ARG,1993,15,2004-04-26,16,33,2049
