rank,name,country_name,country_id,points,bestRank,bestRankDate,rankDiff,pointsDiff,bestPoints
1,Novak Djokovic,Serbia,SRB,2432,1,2011-03-21,0,0,2629
2,Rafael Nadal,Spain,ESP,2399,1,2008-06-16,0,0,2552
3,Roger Federer,Switzerland,SUI,2328,1,2003-08-11,0,0,2550
4,Dominic Thiem,Austria,AUT,2215,4,2020-02-03,0,0,2250
5,Juan Martin Del Potro,Argentina,ARG,2207,3,2010-06-07,0,-1,2331
6,Andy Murray,United Kingdom,GBR,2184,2,2009-04-19,0,-1,2500
7,Stefanos Tsitsipas,Greece,GRE,2170,4,2021-06-13,1,1,2258
8,Daniil Medvedev,Russian Federation,RUS,2169,3,2021-09-13,-1,0,2289
9,Stan Wawrinka,Switzerland,SUI,2122,5,2014-02-17,0,0,2291
10,Alexander Zverev,Germany,GER,2118,4,2021-08-22,0,0,2261
11,Kevin Anderson,South Africa,RSA,2113,6,2019-04-15,0,0,2181
12,Kei Nishikori,Japan,JPN,2112,4,2016-09-12,0,-1,2296
13,Andrey Rublev,Russian Federation,RUS,2105,5,2020-11-02,0,0,2227
14,Gael Monfils,France,FRA,2104,7,2010-11-28,0,0,2189
15,Nick Kyrgios,Australia,AUS,2088,10,2017-04-14,0,0,2176
16,Milos Raonic,Canada,CAN,2066,5,2016-07-11,0,0,2269
17,David Goffin,Belgium,BEL,2065,8,2018-05-21,0,0,2165
18,Roberto Bautista Agut,Spain,ESP,2059,9,2019-07-15,0,0,2135
19,Matteo Berrettini,Italy,ITA,2059,7,2021-07-12,0,0,2173
20,Alex De Minaur,Australia,AUS,2042,18,2021-01-12,0,0,2061
21,Marin Cilic,Croatia,CRO,2042,6,2014-09-08,1,4,2232
22,Diego Sebastian Schwartzman,Argentina,ARG,2042,11,2020-11-02,-1,0,2097
23,Grigor Dimitrov,Bulgaria,BUL,2035,6,2018-01-29,0,0,2203
24,Jo Wilfried Tsonga,France,FRA,2030,6,2009-03-02,0,0,2244
25,Denis Shapovalov,Canada,CAN,2023,15,2021-07-12,0,0,2075
26,Tomas Berdych,Czech Republic,CZE,2014,5,2007-07-09,0,-1,2263
27,Karen Khachanov,Russian Federation,RUS,2013,10,2019-02-08,0,0,2137
28,Filip Krajinovic,Serbia,SRB,2004,25,2020-08-31,0,0,2033
29,Pablo Carreno Busta,Spain,ESP,2002,10,2021-07-31,0,0,2121
30,John Isner,United States,USA,1997,10,2012-04-13,0,0,2147
31,Fabio Fognini,Italy,ITA,1995,14,2014-04-11,0,0,2112
32,Sam Querrey,United States,USA,1994,18,2013-04-21,0,0,2068
33,Jan Lennard Struff,Germany,GER,1989,24,2020-09-14,2,13,2037
34,Kyle Edmund,United Kingdom,GBR,1983,24,2018-08-06,-1,0,2038
35,Daniel Evans,United Kingdom,GBR,1981,25,2021-02-08,-1,0,2002
36,Taylor Harry Fritz,United States,USA,1974,29,2019-08-05,2,2,1999
37,Lucas Pouille,France,FRA,1974,20,2016-09-26,-1,0,2069
38,Richard Gasquet,France,FRA,1972,9,2007-10-08,-1,0,2196
39,Felix Auger Aliassime,Canada,CAN,1968,15,2021-09-13,0,0,2057
40,Yoshihito Nishioka,Japan,JPN,1966,33,2020-02-24,0,0,1977
41,Hyeon Chung,"Korea, Republic of",KOR,1963,21,2018-04-02,0,-1,2049
42,Christian Garin,Chile,CHI,1961,26,2021-06-13,0,0,2010
43,Jeremy Chardy,France,FRA,1956,23,2015-09-14,0,0,2016
44,Hubert Hurkacz,Poland,POL,1953,17,2021-09-27,0,0,2047
45,Borna Coric,Croatia,CRO,1950,13,2019-01-07,0,0,2102
46,Reilly Opelka,United States,USA,1948,28,2021-09-13,0,5,1987
47,Nikoloz Basilashvili,Georgia,GEO,1942,30,2019-01-07,0,2,1990
48,John Millman,Australia,AUS,1942,38,2018-09-10,5,12,1954
49,Vasek Pospisil,Canada,CAN,1940,30,2021-02-08,-1,0,1987
50,Benoit Paire,France,FRA,1934,25,2016-01-11,-1,0,2003
51,Egor Gerasimov,Belarus,BLR,1932,46,2021-03-08,1,2,1932
52,David Ferrer,Spain,ESP,1932,4,2007-11-19,-1,-1,2348
53,Pierre Hugues Herbert,France,FRA,1930,32,2019-06-24,1,0,1989
54,Fernando Verdasco,Spain,ESP,1929,7,2009-05-04,1,0,2204
55,Feliciano Lopez,Spain,ESP,1927,16,2014-10-12,1,0,2074
56,Philipp Kohlschreiber,Germany,GER,1924,14,2016-05-02,-6,-10,2117
57,Guido Pella,Argentina,ARG,1922,29,2019-08-12,0,0,2009
58,Tennys Sandgren,United States,USA,1921,48,2020-08-31,0,0,1940
59,Aljaz Bedene,Slovenia,SLO,1919,42,2018-05-21,0,0,1939
60,Gilles Simon,France,FRA,1918,9,2009-01-11,0,0,2124
61,Marton Fucsovics,Hungary,HUN,1918,21,2021-04-04,5,11,2018
62,Ugo Humbert,France,FRA,1916,25,2021-01-11,-1,0,2002
63,Alexander Bublik,Kazakhstan,KAZ,1915,41,2021-05-09,5,14,1946
64,Miomir Kecmanovic,Serbia,SRB,1913,44,2020-09-14,-2,0,1958
65,Casper Ruud,Norway,NOR,1913,10,2021-10-04,-1,2,2101
66,Andreas Seppi,Italy,ITA,1913,21,2015-08-03,-3,0,2030
67,Albert Ramos,Spain,ESP,1909,25,2017-05-01,-2,0,2014
68,Adrian Mannarino,France,FRA,1902,29,2018-01-15,-1,0,2004
69,Dusan Lajovic,Serbia,SRB,1892,35,2019-04-22,0,0,1962
70,Jiri Vesely,Czech Republic,CZE,1886,38,2017-08-07,3,14,1952
71,Nicolas Mahut,France,FRA,1883,35,2016-10-10,-1,-1,1970
72,Frances Tiafoe,United States,USA,1881,35,2021-10-04,-1,0,1972
73,Jordan Thompson,Australia,AUS,1879,57,2021-07-26,1,9,1908
74,Steve Johnson,United States,USA,1877,21,2017-04-17,-2,0,2042
75,Tommy Paul,United States,USA,1876,61,2021-07-19,0,8,1892
76,Radu Albot,"Moldova, Republic of",MDA,1861,45,2019-04-01,1,0,1936
77,Robin Haase,Netherlands,NED,1857,44,2011-09-26,1,2,1946
78,Viktor Troicki,Serbia,SRB,1847,15,2011-04-03,4,0,2091
79,Alexei Popyrin,Australia,AUS,1844,52,2021-04-04,4,0,1916
80,Lloyd George Muirhead Harris,South Africa,RSA,1844,30,2021-09-13,0,-5,1982
81,Nicolas Jarry,Chile,CHI,1841,45,2019-07-22,3,0,1939
82,Soon Woo Kwon,"Korea, Republic of",KOR,1841,58,2021-09-27,3,0,1895
83,Juan Ignacio Londero,Argentina,ARG,1840,59,2019-09-09,-2,-7,1901
84,Ryan Harrison,United States,USA,1840,38,2017-02-27,2,0,1953
85,Ernests Gulbis,Latvia,LAT,1839,10,2014-06-09,6,12,2167
86,Mikhail Kukushkin,Kazakhstan,KAZ,1839,41,2019-02-25,-7,-11,1943
87,Mikael Ymer,Sweden,SWE,1835,57,2021-08-29,12,18,1903
88,Laslo Djere,Serbia,SRB,1832,53,2021-07-26,0,0,1917
89,Federico Delbonis,Argentina,ARG,1830,41,2016-04-11,0,0,1953
90,Joao Sousa,Portugal,POR,1828,32,2016-02-01,4,4,1974
