rank,name,country_name,country_id,points,bestRank,bestRankDate,rankDiff,pointsDiff,bestPoints
1,Novak Djokovic,Serbia,SRB,2497,1,2011-03-21,0,24,2629
2,Rafael Nadal,Spain,ESP,2446,1,2008-06-16,0,5,2552
3,Roger Federer,Switzerland,SUI,2377,1,2003-08-11,0,-12,2550
4,Andy Murray,United Kingdom,GBR,2285,2,2009-04-19,0,13,2500
5,Juan Martin Del Potro,Argentina,ARG,2252,3,2010-06-07,0,3,2331
6,Robin Soderling,Sweden,SWE,2232,4,2011-04-03,0,-15,2271
7,David Ferrer,Spain,ESP,2190,4,2007-11-19,0,-11,2348
8,Jo Wilfried Tsonga,France,FRA,2148,6,2009-03-02,5,53,2244
9,Gael Monfils,France,FRA,2136,7,2010-11-28,-1,-17,2189
10,Andy Roddick,United States,USA,2135,1,2003-09-08,-1,-11,2274
11,David Nalbandian,Argentina,ARG,2125,3,2006-05-22,-1,1,2196
12,Richard Gasquet,France,FRA,2115,9,2007-10-08,0,7,2196
13,Mardy Fish,United States,USA,2114,9,2011-08-21,1,27,2169
14,Stan Wawrinka,Switzerland,SUI,2097,5,2014-02-17,-3,-16,2291
15,Tomas Berdych,Czech Republic,CZE,2082,5,2007-07-09,0,4,2263
16,Nicolas Almagro,Spain,ESP,2075,9,2012-07-23,0,-1,2160
17,Gilles Simon,France,FRA,2060,9,2009-01-11,2,1,2124
18,Viktor Troicki,Serbia,SRB,2056,15,2011-04-03,-1,-17,2091
19,Marin Cilic,Croatia,CRO,2054,6,2014-09-08,-1,-14,2232
20,Jurgen Melzer,Austria,AUT,2049,12,2011-01-31,0,-2,2110
21,Ivan Ljubicic,Croatia,CRO,2045,3,2006-03-31,6,17,2206
22,Fernando Gonzalez,Chile,CHI,2044,3,2006-10-23,1,2,2209
23,Feliciano Lopez,Spain,ESP,2042,16,2014-10-12,10,36,2074
24,Fernando Verdasco,Spain,ESP,2041,7,2009-05-04,-3,-7,2204
25,Mikhail Youzhny,Russian Federation,RUS,2038,9,2007-06-11,7,32,2122
26,Lleyton Hewitt,Australia,AUS,2034,1,2001-10-15,0,3,2295
27,Juan Carlos Ferrero,Spain,ESP,2024,3,2003-06-09,2,0,2225
28,Nikolay Davydenko,Russian Federation,RUS,2021,5,2008-04-21,-6,-21,2291
29,Philipp Kohlschreiber,Germany,GER,2018,14,2016-05-02,-4,-19,2117
30,Tommy Robredo,Spain,ESP,2017,10,2006-05-22,-6,-20,2107
31,Florian Mayer,Germany,GER,2011,22,2011-11-14,-3,-15,2044
32,Radek Stepanek,Czech Republic,CZE,2004,10,2009-11-29,-2,-12,2136
33,Michael Llodra,France,FRA,2000,31,2011-04-03,2,21,2012
34,Janko Tipsarevic,Serbia,SRB,1992,9,2012-08-13,-3,-15,2158
35,Juan Ignacio Chela,Argentina,ARG,1983,15,2004-04-26,-1,-16,2049
36,Marcos Baghdatis,Cyprus,CYP,1976,9,2007-08-20,4,23,2098
37,Philipp Petzschner,Germany,GER,1966,36,2011-06-19,-1,-5,1976
38,Xavier Malisse,Belgium,BEL,1962,24,2002-03-11,9,23,2035
39,Alexandr Dolgopolov,Ukraine,UKR,1953,22,2014-04-14,-2,-10,2057
40,Ivo Karlovic,Croatia,CRO,1949,17,2007-11-04,3,-2,2061
41,John Isner,United States,USA,1944,10,2012-04-13,4,0,2147
42,Milos Raonic,Canada,CAN,1942,5,2016-07-11,-1,-10,2269
43,Sam Querrey,United States,USA,1942,18,2013-04-21,3,0,2068
44,Albert Montanes,Spain,ESP,1942,29,2010-07-19,-5,-14,2019
45,Thomaz Bellucci,Brazil,BRA,1941,33,2012-07-23,-7,-21,1996
46,Dmitry Tursunov,Russian Federation,RUS,1940,20,2006-10-02,2,4,2042
47,Juan Monaco,Argentina,ARG,1940,12,2012-07-23,-5,-11,2125
48,Tommy Haas,Germany,GER,1937,2,2002-01-28,,,2189
49,Andreas Seppi,Italy,ITA,1936,21,2015-08-03,0,2,2030
50,Kevin Anderson,South Africa,RSA,1932,6,2019-04-15,4,8,2181
51,Julien Benneteau,France,FRA,1929,25,2013-02-18,-1,-4,2027
52,Ivan Dodig,Croatia,CRO,1927,27,2013-10-07,-8,-21,2021
53,Ernests Gulbis,Latvia,LAT,1917,10,2014-06-09,-2,-14,2167
54,Guillermo Garcia Lopez,Spain,ESP,1917,30,2014-06-09,-2,-12,2009
55,James Blake,United States,USA,1912,4,2007-01-15,-2,-13,2164
56,Sergiy Stakhovsky,Ukraine,UKR,1911,44,2010-08-29,-1,-4,1947
57,Fabio Fognini,Italy,ITA,1905,14,2014-04-11,2,0,2112
58,Jarkko Nieminen,Finland,FIN,1903,19,2006-03-17,-2,-8,2034
59,Lukasz Kubot,Poland,POL,1901,52,2010-02-15,21,52,1916
60,Marcel Granollers,Spain,ESP,1901,29,2013-11-04,-3,-7,2004
61,Kei Nishikori,Japan,JPN,1897,4,2016-09-12,-3,-9,2296
62,Victor Hanescu,Romania,ROU,1889,41,2010-06-20,0,5,1958
63,Pablo Cuevas,Uruguay,URU,1887,26,2016-05-09,-2,0,2004
64,Robin Haase,Netherlands,NED,1885,44,2011-09-26,12,28,1946
65,Santiago Giraldo,Colombia,COL,1883,32,2014-05-11,-5,-6,1970
66,Olivier Rochus,Belgium,BEL,1882,18,2006-05-08,0,5,2035
67,Paul Henri Mathieu,France,FRA,1880,13,2007-08-12,-3,0,2082
68,Bernard Tomic,Australia,AUS,1880,21,2015-03-23,72,122,2037
69,Gilles Muller,Luxembourg,LUX,1878,18,2017-07-24,16,42,2098
70,Jeremy Chardy,France,FRA,1876,23,2015-09-14,-5,-1,2016
71,Michael Berrer,Germany,GER,1873,55,2010-04-26,-8,-10,1898
72,Somdev Devvarman,India,IND,1869,59,2011-05-15,-3,1,1901
73,Ryan Sweeting,United States,USA,1868,64,2011-04-17,6,16,1887
74,Taylor Dent,United States,USA,1866,16,2003-10-27,-4,-1,2040
75,Steve Darcis,Belgium,BEL,1863,41,2017-04-14,-2,0,1950
76,Mikhail Kukushkin,Kazakhstan,KAZ,1862,41,2019-02-25,-4,-2,1943
77,Potito Starace,Italy,ITA,1862,46,2007-08-05,-9,-6,1937
78,Thiemo De Bakker,Netherlands,NED,1862,46,2010-09-24,-4,0,1945
79,Simone Bolelli,Italy,ITA,1858,39,2015-08-10,12,32,1959
80,Jose Acasuso,Argentina,ARG,1856,24,2006-08-14,-3,0,2011
81,Frederico Gil,Portugal,POR,1851,60,2011-04-25,-14,-19,1896
82,Igor Andreev,Russian Federation,RUS,1851,17,2008-09-08,-4,-5,2062
83,Denis Istomin,Uzbekistan,UZB,1850,31,2014-07-14,5,20,1987
84,Pablo Andujar,Spain,ESP,1849,49,2014-10-27,-13,-17,1929
85,Alejandro Falla,Colombia,COL,1849,61,2010-08-08,-10,-8,1888
86,Benjamin Becker,Germany,GER,1848,50,2015-02-02,-5,0,1917
87,Igor Kunitsyn,Russian Federation,RUS,1846,71,2008-10-19,-4,2,1868
88,Ricardas Berankis,Lithuania,LTU,1846,50,2013-04-15,-6,0,1914
89,Yen Hsun Lu,"Taiwan, Province of China",TPE,1843,50,2014-08-24,25,51,1922
90,Jan Hernych,Czech Republic,CZE,1838,68,2014-02-10,-6,0,1882
91,Alex Bogomolov Jr,Russian Federation,RUS,1834,47,2012-01-16,21,39,1938
92,Evgeny Korolev,Kazakhstan,KAZ,1830,53,2010-02-01,-5,-1,1907
93,Adrian Mannarino,France,FRA,1828,29,2018-01-15,3,12,2004
94,Robby Ginepri,United States,USA,1823,15,2005-09-12,-2,-1,2057
95,Grega Zemlja,Slovenia,SLO,1823,56,2013-07-08,4,15,1901
96,Dudi Sela,Israel,ISR,1820,45,2009-07-06,7,16,1941
97,Leonardo Mayer,Argentina,ARG,1819,28,2014-08-11,-4,0,1999
98,Marco Chiudinelli,Switzerland,SUI,1817,62,2009-11-09,-4,-1,1882
99,Arnaud Clement,France,FRA,1815,10,2001-01-29,-13,-17,2107
100,Stefan Koubek,Austria,AUT,1814,38,2000-03-06,-2,0,1970
101,Lukas Lacko,Slovakia,SVK,1809,60,2012-02-06,-12,-19,1886
102,Simon Greul,Germany,GER,1807,72,2010-03-22,-2,0,1855
103,Blaz Kavcic,Slovenia,SLO,1805,68,2014-02-07,-13,-21,1867
104,Horacio Zeballos,Argentina,ARG,1805,50,2017-06-12,-3,0,1927
105,Nicolas Mahut,France,FRA,1805,35,2016-10-10,-10,-12,1970
106,James Ward,United Kingdom,GBR,1805,94,2011-06-13,-9,-10,1822
107,Antonio Veic,Croatia,CRO,1802,103,2011-07-15,0,0,1802
108,Daniel Gimeno Traver,Spain,ESP,1800,62,2010-09-13,-2,-2,1888
109,Albert Ramos,Spain,ESP,1798,25,2017-05-01,1,0,2014
110,Adrian Ungur,Romania,ROU,1797,108,2011-07-15,1,0,1798
111,Tobias Kamke,Germany,GER,1795,78,2014-01-06,15,24,1840
112,Andreas Beck,Germany,GER,1795,66,2009-10-18,-3,-4,1867
113,Andrey Golubev,Kazakhstan,KAZ,1792,53,2011-01-09,-11,-13,1930
114,Rainer Schuettler,Germany,GER,1792,8,2003-10-13,18,26,2123
115,Jose Rubin Statham,New Zealand,NZL,1788,110,2010-11-07,0,0,1803
116,Ryan Harrison,United States,USA,1788,38,2017-02-27,27,33,1953
117,Stephane Robert,France,FRA,1787,64,2010-04-04,-1,0,1872
118,Teymuraz Gabashvili,Russian Federation,RUS,1786,55,2016-01-18,-13,-17,1910
119,Andreas Haider Maurer,Austria,AUT,1785,72,2015-04-19,15,21,1866
120,Ricardo Mello,Brazil,BRA,1785,63,2005-02-21,7,14,1902
121,Florent Serra,France,FRA,1781,44,2010-04-18,-17,-22,1942
122,Eduardo Schwank,Argentina,ARG,1778,71,2010-05-23,-3,0,1852
123,Peter Polansky,Canada,CAN,1777,121,2011-06-19,-2,-1,1778
124,Michael Russell,United States,USA,1777,70,2012-08-26,-4,-1,1867
125,Grigor Dimitrov,Bulgaria,BUL,1776,6,2018-01-29,12,14,2203
126,Sergei Bubka,Ukraine,UKR,1774,112,2011-09-12,-3,-1,1793
127,Carlos Berlocq,Argentina,ARG,1774,33,2014-06-09,-19,-26,1966
128,Karol Beck,Slovakia,SVK,1774,49,2005-02-14,61,84,1935
129,Frank Dancevic,Canada,CAN,1773,62,2007-09-17,-16,-22,1890
130,Chris Guccione,Australia,AUS,1773,67,2007-01-15,-6,0,1884
131,Marc Gicquel,France,FRA,1773,44,2007-02-26,-13,-11,1938
132,Joao Souza,Brazil,BRA,1772,107,2012-05-13,-7,-1,1797
133,Illya Marchenko,Ukraine,UKR,1772,71,2016-01-18,-16,-13,1865
134,Marsel Ilhan,Turkey,TUR,1770,98,2015-07-24,-6,0,1822
135,Filippo Volandri,Italy,ITA,1770,30,2007-06-18,-13,-7,1986
136,Yuri Schukin,Kazakhstan,KAZ,1770,120,2010-11-07,-7,0,1787
137,Amer Delic,Bosnia and Herzegovina,BIH,1765,76,2009-04-05,-4,0,1847
138,Lukas Rosol,Czech Republic,CZE,1759,29,2014-08-24,0,0,1982
139,Rik De Voest,South Africa,RSA,1759,118,2008-10-06,10,18,1775
140,Nicolas Massu,Chile,CHI,1758,13,2003-10-20,-1,-1,2053
141,Aisam Ul Haq Qureshi,Pakistan,PAK,1757,113,2007-09-17,0,0,1796
142,Maximo Gonzalez,Argentina,ARG,1756,73,2009-06-08,-6,-6,1857
143,Mischa Zverev,Germany,GER,1755,37,2017-01-30,-12,-13,1968
144,Pere Riba,Spain,ESP,1751,126,2011-06-05,-14,-17,1777
145,Julian Reister,Germany,GER,1750,111,2011-05-22,-3,-5,1798
146,Izak Van Der Merwe,South Africa,RSA,1748,110,2012-09-10,-2,0,1790
147,Jesse Levine,Canada,CAN,1748,96,2013-01-28,-2,0,1816
148,Brian Dabul,Argentina,ARG,1748,86,2009-02-16,-2,0,1827
149,Bjorn Phau,Germany,GER,1748,87,2006-01-30,-2,0,1859
150,Paolo Lorenzi,Italy,ITA,1747,64,2016-10-31,-2,0,1896
151,Donald Young,United States,USA,1743,34,2017-04-03,-16,-21,1976
152,Benjamin Balleret,Monaco,MON,1741,117,2007-09-17,-2,0,1790
153,Matthew Ebden,Australia,AUS,1739,54,2018-10-15,-2,0,1913
154,Raven Klaasen,South Africa,RSA,1738,135,2010-11-14,-2,0,1757
155,Daniel Garza,Mexico,MEX,1738,146,2011-09-12,-2,0,1741
156,Guillaume Rufin,France,FRA,1737,101,2013-04-12,-1,0,1811
157,Kittipong Wachiramanowong,Thailand,THA,1735,153,2011-07-14,-1,0,1736
158,Rui Machado,Portugal,POR,1734,118,2011-04-03,-1,0,1786
159,Carsten Ball,Australia,AUS,1732,86,2010-06-07,1,0,1831
160,Paul Capdeville,Chile,CHI,1731,71,2007-09-28,1,0,1869
161,Flavio Cipolla,Italy,ITA,1730,81,2009-02-02,-3,-3,1841
162,Rohan Bopanna,India,IND,1728,138,2010-11-14,2,0,1756
163,Ilija Bozoljac,Serbia,SRB,1727,147,2007-01-29,2,0,1744
164,Reda El Amrani,Morocco,MAR,1726,149,2011-10-03,2,0,1741
165,Benoit Paire,France,FRA,1726,25,2016-01-11,-2,-3,2003
166,Simone Vagnozzi,Italy,ITA,1724,162,2011-07-14,1,0,1724
167,Go Soeda,Japan,JPN,1723,86,2012-07-23,-5,-6,1836
168,Robert Kendrick,United States,USA,1723,103,2004-02-16,0,0,1831
169,Jhonson Garcia,Dominican Republic,DOM,1722,164,2011-03-11,1,0,1722
170,Dustin Brown,Germany,GER,1722,51,2017-01-09,1,0,1916
171,Ivan Navarro,Spain,ESP,1721,98,2008-09-15,1,0,1809
172,Denis Gremelmayr,Germany,GER,1720,66,2008-05-12,-18,-18,1882
173,Jean Rene Lisnard,Monaco,MON,1717,86,2004-01-12,0,0,1853
174,Victor Estrella,Dominican Republic,DOM,1716,56,2016-02-22,0,-1,1902
175,Edouard Roger Vasselin,France,FRA,1715,40,2014-03-30,-6,-7,1947
176,Rajeev Ram,United States,USA,1715,80,2016-04-11,0,0,1849
177,Kristof Vliegen,Belgium,BEL,1714,37,2006-05-08,-2,-1,1961
178,Uladzimir Ignatik,Belarus,BLR,1712,116,2012-09-10,-1,0,1780
179,Tim Smyczek,United States,USA,1710,89,2015-04-05,-1,0,1836
180,Andreas Vinciguerra,Sweden,SWE,1708,32,2001-02-26,-1,-1,1984
181,Michael Lammer,Switzerland,SUI,1707,150,2011-12-09,-1,-1,1734
182,Daniel Brands,Germany,GER,1707,55,2013-07-29,-1,0,1921
183,Ruben Ramirez Hidalgo,Spain,ESP,1705,61,2006-10-09,-24,-27,1896
184,Richard Bloomfield,United Kingdom,GBR,1704,166,2011-01-09,-2,-1,1711
185,Danai Udomchoke,Thailand,THA,1699,89,2007-02-16,-1,0,1840
186,Victor Crivoi,Romania,ROU,1697,127,2009-08-09,-1,-1,1776
187,Joao Sousa,Portugal,POR,1693,32,2016-02-01,-1,0,1974
188,Frederik Nielsen,Denmark,DEN,1693,122,2017-05-08,-1,0,1789
189,Jerzy Janowicz,Poland,POL,1693,25,2014-02-17,-1,0,2027
190,Farrukh Dustov,Uzbekistan,UZB,1684,160,2012-04-13,0,0,1732
191,Jan Hajek,Czech Republic,CZE,1684,92,2007-06-24,0,0,1836
192,Andrey Kuznetsov,Russian Federation,RUS,1683,30,2016-09-23,0,0,1998
193,Conor Niland,Ireland,IRL,1678,159,2010-03-22,-10,-23,1739
194,Franco Skugor,Croatia,CRO,1677,169,2017-05-29,-1,0,1717
195,Piero Luisi,"Venezuela, Bolivarian Republic of",VEN,1675,191,2011-07-14,-1,0,1675
196,Cesar Ramirez,Mexico,MEX,1671,173,2012-04-13,-1,0,1709
197,Peter Luczak,Australia,AUS,1671,99,2006-01-30,-1,0,1817
198,Ivan Miranda,Peru,PER,1670,130,2008-01-28,-1,-1,1780
199,Christopher Rungkat,Indonesia,INA,1662,109,2012-10-01,0,-1,1787
200,Jesse Huta Galung,Netherlands,NED,1661,171,2013-09-20,0,0,1712
201,Stephane Bohli,Switzerland,SUI,1658,135,2009-01-12,0,0,1754
202,Marcos Daniel,Brazil,BRA,1653,115,2009-08-03,0,0,1790
203,Cecil Mamiit,Philippines,PHI,1651,110,2001-06-11,1,0,1826
204,Aqeel Khan,Pakistan,PAK,1645,154,2018-02-09,1,0,1745
205,Santiago Ventura,Spain,ESP,1640,80,2004-08-30,1,-1,1870
206,Martin Fischer,Austria,AUT,1639,171,2011-01-17,-8,-25,1704
207,Jamie Baker,United Kingdom,GBR,1629,192,2012-08-13,1,0,1680
208,Igor Sijsling,Netherlands,NED,1629,59,2013-07-15,-5,-23,1889
209,Matthias Bachinger,Germany,GER,1625,97,2020-09-14,-2,-5,1825
210,Ruben Bemelmans,Belgium,BEL,1618,82,2018-02-12,,,1860
211,Michal Przysiezny,Poland,POL,1608,99,2014-01-05,-2,0,1817
212,Tsung Hua Yang,"Taiwan, Province of China",TPE,1602,207,2011-07-14,-2,0,1606
213,Martin Klizan,Slovakia,SVK,1592,26,2018-10-01,-2,-1,1998
214,Giovanni Lapentti,Ecuador,ECU,1581,129,2005-08-22,-2,0,1784
215,Alexander Blom,Netherlands,AHO,1573,186,2011-09-12,-2,0,1685
216,Michael Leong,Solomon Islands,SOL,1568,195,2007-06-11,-2,0,1686
