rank,name,country_name,country_id,points,bestRank,bestRankDate,rankDiff,pointsDiff,bestPoints
1,Andy Roddick,United States,USA,2258,1,2003-09-08,0,0,2274
2,Andre Agassi,United States,USA,2234,1,1995-03-24,0,0,2376
3,Roger Federer,Switzerland,SUI,2205,1,2003-08-11,0,0,2550
4,Lleyton Hewitt,Australia,AUS,2199,1,2001-10-15,0,0,2295
5,Juan Carlos Ferrero,Spain,ESP,2189,3,2003-06-09,0,-8,2225
6,Guillermo Coria,Argentina,ARG,2163,2,2004-06-07,0,0,2229
7,Carlos Moya,Spain,ESP,2114,3,2002-12-06,0,-9,2190
8,David Nalbandian,Argentina,ARG,2108,3,2006-05-22,0,0,2196
9,Mark Philippoussis,Australia,AUS,2098,4,2000-03-20,4,26,2171
10,Sjeng Schalken,Netherlands,NED,2085,9,2003-09-15,-1,0,2085
11,Tommy Haas,Germany,GER,2076,2,2002-01-28,-1,-1,2189
12,Marat Safin,Russian Federation,RUS,2073,2,2000-09-18,-1,0,2218
13,Tim Henman,United Kingdom,GBR,2072,4,2002-04-12,-1,0,2165
14,Rainer Schuettler,Germany,GER,2071,8,2003-10-13,0,0,2123
15,Jiri Novak,Czech Republic,CZE,2058,6,2002-10-21,0,4,2112
16,Sebastien Grosjean,France,FRA,2052,4,2003-01-27,0,0,2133
17,Guillermo Canas,Argentina,ARG,2031,8,2002-08-05,0,-3,2113
18,Nicolas Massu,Chile,CHI,2029,13,2003-10-20,12,25,2053
19,Paradorn Srichaphan,Thailand,THA,2029,9,2003-01-06,-1,-2,2103
20,Younes El Aynaoui,Morocco,MAR,2028,13,2002-05-06,-1,0,2095
21,James Blake,United States,USA,2024,4,2007-01-15,-1,0,2164
22,Gustavo Kuerten,Brazil,BRA,2021,1,2001-06-11,-1,0,2281
23,Todd Martin,United States,USA,2017,2,1999-01-18,-1,0,2188
24,Max Mirnyi,Belarus,BLR,2015,20,2001-10-22,-1,0,2041
25,Nicolas Escude,France,FRA,2015,13,2002-03-04,-1,0,2091
26,Tommy Robredo,Spain,ESP,2014,10,2006-05-22,-1,0,2107
27,Fernando Gonzalez,Chile,CHI,2009,3,2006-10-23,-1,0,2209
28,Greg Rusedski,United Kingdom,GBR,2006,3,1998-11-30,-1,0,2178
29,Mariano Zabaleta,Argentina,ARG,2006,22,2003-08-25,-1,0,2027
30,Wayne Ferreira,South Africa,RSA,2004,7,1995-05-22,-1,0,2158
31,Gaston Gaudio,Argentina,ARG,2003,8,2005-07-11,0,0,2137
32,Taylor Dent,United States,USA,2000,16,2003-10-27,14,42,2040
33,Agustin Calleri,Argentina,ARG,1997,19,2003-05-19,-1,0,2043
34,Albert Costa,Spain,ESP,1993,4,1998-06-08,-1,0,2154
35,Jonas Bjorkman,Sweden,SWE,1992,3,1997-12-05,-1,0,2174
36,Felix Mantilla,Spain,ESP,1989,6,1997-09-15,-1,0,2133
37,Jarkko Nieminen,Finland,FIN,1989,19,2006-03-17,3,13,2034
38,Juan Ignacio Chela,Argentina,ARG,1988,15,2004-04-26,-2,0,2049
39,Thomas Johansson,Sweden,SWE,1987,7,2002-02-15,-2,0,2136
40,Karol Kucera,Slovakia,SVK,1977,7,1999-10-11,-2,0,2125
41,Yevgeny Kafelnikov,Russian Federation,RUS,1977,2,1999-02-01,-2,0,2216
42,Mardy Fish,United States,USA,1973,9,2011-08-21,-1,0,2169
43,Xavier Malisse,Belgium,BEL,1972,24,2002-03-11,-1,0,2035
44,Richard Krajicek,Netherlands,NED,1967,2,1999-03-26,-1,0,2214
45,Ivan Ljubicic,Croatia,CRO,1966,3,2006-03-31,6,18,2206
46,Arnaud Clement,France,FRA,1966,10,2001-01-29,-2,0,2107
47,Radek Stepanek,Czech Republic,CZE,1960,10,2009-11-29,-2,0,2136
48,Robby Ginepri,United States,USA,1958,15,2005-09-12,-1,0,2057
49,Mikhail Youzhny,Russian Federation,RUS,1957,9,2007-06-11,-1,0,2122
50,Marcelo Rios,Chile,CHI,1955,2,1998-03-27,-1,0,2241
51,Feliciano Lopez,Spain,ESP,1954,16,2014-10-12,-1,0,2074
52,Nicolas Lapentti,Ecuador,ECU,1944,7,1999-11-08,1,0,2108
53,Nicolas Kiefer,Germany,GER,1940,5,2000-02-14,-1,-4,2135
54,Flavio Saretta,Brazil,BRA,1928,52,2003-09-08,1,0,1950
55,Andrei Pavel,Romania,ROU,1922,11,2004-05-17,-1,-11,2061
56,Hicham Arazi,Morocco,MAR,1920,24,2002-01-07,0,0,2025
57,Dominik Hrbaty,Slovakia,SVK,1915,15,2005-12-09,0,0,2085
58,Goran Ivanisevic,Croatia,CRO,1911,3,1992-11-23,1,0,2246
59,Martin Verkerk,Netherlands,NED,1905,34,2004-10-04,-1,-9,1980
60,Vincent Spadea,United States,USA,1905,20,1999-09-20,1,0,2034
61,Magnus Larsson,Sweden,SWE,1901,4,1995-03-24,1,0,2188
62,Daniel Nestor,Canada,CAN,1898,61,1999-08-30,2,0,1907
63,Alex Corretja,Spain,ESP,1894,3,2000-08-07,-3,-14,2182
64,Thomas Enqvist,Sweden,SWE,1891,5,1998-05-04,-1,-9,2173
