rank,name,country_name,country_id,points,bestRank,bestRankDate,rankDiff,pointsDiff,bestPoints
1,Rafael Nadal,Spain,ESP,2424,1,2008-06-16,0,29,2552
2,Roger Federer,Switzerland,SUI,2319,1,2003-08-11,0,-11,2550
3,Juan Martin Del Potro,Argentina,ARG,2278,3,2010-06-07,0,-1,2331
4,Andy Murray,United Kingdom,GBR,2270,2,2009-04-19,1,14,2500
5,Novak Djokovic,Serbia,SRB,2262,1,2011-03-21,-1,0,2629
6,Nikolay Davydenko,Russian Federation,RUS,2231,5,2008-04-21,0,-21,2291
7,Robin Soderling,Sweden,SWE,2226,4,2011-04-03,1,15,2271
8,Andy Roddick,United States,USA,2209,1,2003-09-08,-1,-12,2274
9,Tomas Berdych,Czech Republic,CZE,2190,5,2007-07-09,2,48,2263
10,David Ferrer,Spain,ESP,2176,4,2007-11-19,0,2,2348
11,Fernando Verdasco,Spain,ESP,2163,7,2009-05-04,-2,-22,2204
12,David Nalbandian,Argentina,ARG,2127,3,2006-05-22,0,0,2196
13,Jo Wilfried Tsonga,France,FRA,2126,6,2009-03-02,1,8,2244
14,Lleyton Hewitt,Australia,AUS,2122,1,2001-10-15,1,12,2295
15,Marin Cilic,Croatia,CRO,2103,6,2014-09-08,-2,-21,2232
16,Jurgen Melzer,Austria,AUT,2094,12,2011-01-31,4,15,2110
17,Mikhail Youzhny,Russian Federation,RUS,2093,9,2007-06-11,-1,-16,2122
18,Fernando Gonzalez,Chile,CHI,2088,3,2006-10-23,0,0,2209
19,Stan Wawrinka,Switzerland,SUI,2087,5,2014-02-17,-2,-19,2291
20,Radek Stepanek,Czech Republic,CZE,2075,10,2009-11-29,1,-1,2136
21,Nicolas Almagro,Spain,ESP,2062,9,2012-07-23,-2,-19,2160
22,Gael Monfils,France,FRA,2048,7,2010-11-28,1,0,2189
23,Sam Querrey,United States,USA,2042,18,2013-04-21,5,18,2068
24,Ernests Gulbis,Latvia,LAT,2040,10,2014-06-09,1,0,2167
25,Mario Ancic,Croatia,CRO,2038,6,2006-09-11,1,0,2133
26,Ivan Ljubicic,Croatia,CRO,2038,3,2006-03-31,-4,-22,2206
27,Juan Carlos Ferrero,Spain,ESP,2030,3,2003-06-09,-3,-17,2225
28,Tommy Haas,Germany,GER,2028,2,2002-01-28,-1,0,2189
29,Philipp Kohlschreiber,Germany,GER,2027,14,2016-05-02,0,6,2117
30,Richard Gasquet,France,FRA,2016,9,2007-10-08,1,0,2196
31,Ivo Karlovic,Croatia,CRO,2007,17,2007-11-04,1,0,2061
32,Gilles Simon,France,FRA,2004,9,2009-01-11,3,3,2124
33,Marcos Baghdatis,Cyprus,CYP,2000,9,2007-08-20,-3,-20,2098
34,Juan Monaco,Argentina,ARG,1999,12,2012-07-23,2,0,2125
35,John Isner,United States,USA,1996,10,2012-04-13,-1,-10,2147
36,Thomaz Bellucci,Brazil,BRA,1993,33,2012-07-23,2,2,1996
37,Mardy Fish,United States,USA,1993,9,2011-08-21,-4,-13,2169
38,James Blake,United States,USA,1970,4,2007-01-15,-1,-21,2164
39,Albert Montanes,Spain,ESP,1967,29,2010-07-19,1,5,2019
40,Julien Benneteau,France,FRA,1962,25,2013-02-18,7,19,2027
41,Feliciano Lopez,Spain,ESP,1961,16,2014-10-12,2,5,2074
42,Michael Llodra,France,FRA,1959,31,2011-04-03,0,1,2012
43,Philipp Petzschner,Germany,GER,1955,36,2011-06-19,5,16,1976
44,Tommy Robredo,Spain,ESP,1954,10,2006-05-22,-5,-21,2107
45,Viktor Troicki,Serbia,SRB,1952,15,2011-04-03,-1,0,2091
46,Victor Hanescu,Romania,ROU,1951,41,2010-06-20,-5,-7,1958
47,Nicolas Kiefer,Germany,GER,1944,5,2000-02-14,-2,-5,2135
48,Marat Safin,Russian Federation,RUS,1925,2,2000-09-18,2,-1,2218
49,Xavier Malisse,Belgium,BEL,1925,24,2002-03-11,4,18,2035
50,Guillermo Garcia Lopez,Spain,ESP,1924,30,2014-06-09,-4,-21,2009
51,Florent Serra,France,FRA,1922,44,2010-04-18,0,5,1942
52,Sergiy Stakhovsky,Ukraine,UKR,1919,44,2010-08-29,-3,-11,1947
53,Jeremy Chardy,France,FRA,1910,23,2015-09-14,3,16,2016
54,Denis Istomin,Uzbekistan,UZB,1909,31,2014-07-14,8,30,1987
55,Joachim Johansson,Sweden,SWE,1905,10,2005-02-14,-1,0,2074
56,Janko Tipsarevic,Serbia,SRB,1899,9,2012-08-13,-4,-18,2158
57,Thiemo De Bakker,Netherlands,NED,1896,46,2010-09-24,4,17,1945
58,Leonardo Mayer,Argentina,ARG,1893,28,2014-08-11,-3,-9,1999
59,Paul Henri Mathieu,France,FRA,1893,13,2007-08-12,28,62,2082
60,Benjamin Becker,Germany,GER,1888,50,2015-02-02,-2,1,1917
61,Fabrice Santoro,France,FRA,1883,17,2001-08-06,-1,0,2052
62,Juan Ignacio Chela,Argentina,ARG,1874,15,2004-04-26,-5,-18,2049
63,Arnaud Clement,France,FRA,1870,10,2001-01-29,18,31,2107
64,Yen Hsun Lu,"Taiwan, Province of China",TPE,1864,50,2014-08-24,70,100,1922
65,Florian Mayer,Germany,GER,1863,22,2011-11-14,25,33,2044
66,Marcel Granollers,Spain,ESP,1863,29,2013-11-04,6,12,2004
67,Igor Andreev,Russian Federation,RUS,1862,17,2008-09-08,-8,-21,2062
68,Alejandro Falla,Colombia,COL,1860,61,2010-08-08,-4,-2,1888
69,Andreas Seppi,Italy,ITA,1858,21,2015-08-03,1,5,2030
70,Dmitry Tursunov,Russian Federation,RUS,1857,20,2006-10-02,-7,-18,2042
71,Carlos Moya,Spain,ESP,1856,3,2002-12-06,-2,0,2190
72,Dudi Sela,Israel,ISR,1855,45,2009-07-06,-6,-6,1941
73,Wayne Odesnik,United States,USA,1850,70,2010-05-14,0,0,1854
74,Jose Acasuso,Argentina,ARG,1850,24,2006-08-14,0,0,2011
75,Potito Starace,Italy,ITA,1850,46,2007-08-05,-8,-9,1937
76,Fabio Fognini,Italy,ITA,1849,14,2014-04-11,28,33,2112
77,Robby Ginepri,United States,USA,1848,15,2005-09-12,-6,-3,2057
78,Simone Bolelli,Italy,ITA,1847,39,2015-08-10,-2,0,1959
79,Daniel Brands,Germany,GER,1844,55,2013-07-29,69,96,1921
80,Michael Berrer,Germany,GER,1843,55,2010-04-26,-15,-19,1898
81,Jarkko Nieminen,Finland,FIN,1842,19,2006-03-17,15,16,2034
82,Marc Gicquel,France,FRA,1841,44,2007-02-26,-14,-18,1938
83,Evgeny Korolev,Kazakhstan,KAZ,1841,53,2010-02-01,8,11,1907
84,Andreas Beck,Germany,GER,1839,66,2009-10-18,-6,-7,1867
85,Nicolas Mahut,France,FRA,1837,35,2016-10-10,-8,-10,1970
86,Olivier Rochus,Belgium,BEL,1837,18,2006-05-08,-6,-3,2035
87,Kei Nishikori,Japan,JPN,1836,4,2016-09-12,-5,-1,2296
88,Rainer Schuettler,Germany,GER,1834,8,2003-10-13,6,7,2123
89,Frank Dancevic,Canada,CAN,1832,62,2007-09-17,-4,0,1890
90,Taylor Dent,United States,USA,1832,16,2003-10-27,19,21,2040
91,Stefan Koubek,Austria,AUT,1829,38,2000-03-06,-16,-18,1970
92,Josselin Ouanna,France,FRA,1829,91,2010-07-12,0,0,1829
93,Illya Marchenko,Ukraine,UKR,1828,71,2016-01-18,17,17,1865
94,Maximo Gonzalez,Argentina,ARG,1828,73,2009-06-08,-10,-6,1857
95,Santiago Giraldo,Colombia,COL,1826,32,2014-05-11,-16,-15,1970
96,Alexandr Dolgopolov,Ukraine,UKR,1826,22,2014-04-14,12,14,2057
97,Teymuraz Gabashvili,Russian Federation,RUS,1825,55,2016-01-18,9,11,1910
98,Lukasz Kubot,Poland,POL,1822,52,2010-02-15,1,2,1916
99,Pablo Cuevas,Uruguay,URU,1820,26,2016-05-09,-1,0,2004
100,Somdev Devvarman,India,IND,1817,59,2011-05-15,2,0,1901
