rank,name,country_name,country_id,points,bestRank,bestRankDate,rankDiff,pointsDiff,bestPoints
1,Novak Djokovic,Serbia,SRB,2435,1,2011-03-21,0,20,2629
2,Roger Federer,Switzerland,SUI,2396,1,2003-08-11,0,-5,2550
3,Rafael Nadal,Spain,ESP,2388,1,2008-06-16,0,8,2552
4,Robin Soderling,Sweden,SWE,2249,4,2011-04-03,1,-8,2271
5,Andy Murray,United Kingdom,GBR,2245,2,2009-04-19,-1,-18,2500
6,Juan Martin Del Potro,Argentina,ARG,2238,3,2010-06-07,0,2,2331
7,David Ferrer,Spain,ESP,2185,4,2007-11-19,0,-5,2348
8,Andy Roddick,United States,USA,2165,1,2003-09-08,0,-16,2274
9,Gael Monfils,France,FRA,2154,7,2010-11-28,1,0,2189
10,Stan Wawrinka,Switzerland,SUI,2142,5,2014-02-17,-1,-15,2291
11,David Nalbandian,Argentina,ARG,2132,3,2006-05-22,0,0,2196
12,Mardy Fish,United States,USA,2126,9,2011-08-21,3,39,2169
13,Tomas Berdych,Czech Republic,CZE,2113,5,2007-07-09,-1,7,2263
14,Jo Wilfried Tsonga,France,FRA,2094,6,2009-03-02,-1,-10,2244
15,Viktor Troicki,Serbia,SRB,2084,15,2011-04-03,3,7,2091
16,Nicolas Almagro,Spain,ESP,2084,9,2012-07-23,-2,-10,2160
17,Jurgen Melzer,Austria,AUT,2068,12,2011-01-31,-1,-13,2110
18,Nikolay Davydenko,Russian Federation,RUS,2066,5,2008-04-21,-1,-15,2291
19,Marin Cilic,Croatia,CRO,2064,6,2014-09-08,0,-13,2232
20,Gilles Simon,France,FRA,2061,9,2009-01-11,5,15,2124
21,Mikhail Youzhny,Russian Federation,RUS,2055,9,2007-06-11,-1,-12,2122
22,Fernando Gonzalez,Chile,CHI,2053,3,2006-10-23,1,-1,2209
23,Richard Gasquet,France,FRA,2052,9,2007-10-08,-1,-7,2196
24,Lleyton Hewitt,Australia,AUS,2046,1,2001-10-15,0,0,2295
25,Fernando Verdasco,Spain,ESP,2045,7,2009-05-04,-4,-16,2204
26,Juan Carlos Ferrero,Spain,ESP,2036,3,2003-06-09,0,0,2225
27,Tommy Robredo,Spain,ESP,2029,10,2006-05-22,0,0,2107
28,Philipp Kohlschreiber,Germany,GER,2018,14,2016-05-02,1,-4,2117
29,Radek Stepanek,Czech Republic,CZE,2011,10,2009-11-29,2,4,2136
30,Alexandr Dolgopolov,Ukraine,UKR,2011,22,2014-04-14,4,19,2057
31,Michael Llodra,France,FRA,1996,31,2011-04-03,1,-6,2012
32,Marcos Baghdatis,Cyprus,CYP,1996,9,2007-08-20,-2,-14,2098
33,Janko Tipsarevic,Serbia,SRB,1982,9,2012-08-13,11,21,2158
34,Ivan Ljubicic,Croatia,CRO,1981,3,2006-03-31,-1,-18,2206
35,John Isner,United States,USA,1981,10,2012-04-13,1,0,2147
36,Florian Mayer,Germany,GER,1978,22,2011-11-14,9,30,2044
37,Sam Querrey,United States,USA,1972,18,2013-04-21,2,0,2068
38,Ivo Karlovic,Croatia,CRO,1970,17,2007-11-04,-1,-11,2061
39,Ernests Gulbis,Latvia,LAT,1968,10,2014-06-09,-4,-17,2167
40,Julien Benneteau,France,FRA,1967,25,2013-02-18,0,-2,2027
41,Albert Montanes,Spain,ESP,1962,29,2010-07-19,-3,-10,2019
42,Juan Monaco,Argentina,ARG,1957,12,2012-07-23,4,9,2125
43,Juan Ignacio Chela,Argentina,ARG,1955,15,2004-04-26,-2,-11,2049
44,Guillermo Garcia Lopez,Spain,ESP,1953,30,2014-06-09,-2,-12,2009
45,Milos Raonic,Canada,CAN,1951,5,2016-07-11,-2,-12,2269
46,Nicolas Kiefer,Germany,GER,1936,5,2000-02-14,2,-1,2135
47,Kevin Anderson,South Africa,RSA,1935,6,2019-04-15,14,52,2181
48,Sergiy Stakhovsky,Ukraine,UKR,1931,44,2010-08-29,1,-6,1947
49,James Blake,United States,USA,1931,4,2007-01-15,5,18,2164
50,Philipp Petzschner,Germany,GER,1930,36,2011-06-19,3,14,1976
51,Jarkko Nieminen,Finland,FIN,1929,19,2006-03-17,-4,-12,2034
52,Ivan Dodig,Croatia,CRO,1925,27,2013-10-07,0,8,2021
53,Thomaz Bellucci,Brazil,BRA,1923,33,2012-07-23,-3,-11,1996
54,Feliciano Lopez,Spain,ESP,1922,16,2014-10-12,4,21,2074
55,Xavier Malisse,Belgium,BEL,1920,24,2002-03-11,-4,-1,2035
56,Marcel Granollers,Spain,ESP,1919,29,2013-11-04,10,41,2004
57,Dmitry Tursunov,Russian Federation,RUS,1907,20,2006-10-02,0,0,2042
58,Andrey Golubev,Kazakhstan,KAZ,1902,53,2011-01-09,-3,-11,1930
59,Jeremy Chardy,France,FRA,1899,23,2015-09-14,-3,-12,2016
60,Olivier Rochus,Belgium,BEL,1898,18,2006-05-08,18,45,2035
61,Kei Nishikori,Japan,JPN,1896,4,2016-09-12,-1,11,2296
62,Somdev Devvarman,India,IND,1889,59,2011-05-15,8,23,1901
63,Santiago Giraldo,Colombia,COL,1888,32,2014-05-11,-4,-13,1970
64,Mikhail Kukushkin,Kazakhstan,KAZ,1887,41,2019-02-25,0,5,1943
65,Pablo Cuevas,Uruguay,URU,1884,26,2016-05-09,8,25,2004
66,Andreas Seppi,Italy,ITA,1884,21,2015-08-03,-3,1,2030
67,Paul Henri Mathieu,France,FRA,1883,13,2007-08-12,-5,0,2082
68,Thiemo De Bakker,Netherlands,NED,1879,46,2010-09-24,-3,0,1945
69,Denis Istomin,Uzbekistan,UZB,1871,31,2014-07-14,2,8,1987
70,Taylor Dent,United States,USA,1869,16,2003-10-27,-2,0,2040
71,Potito Starace,Italy,ITA,1865,46,2007-08-05,-4,-12,1937
