rank,name,country_name,country_id,points,bestRank,bestRankDate,rankDiff,pointsDiff,bestPoints
1,Novak Djokovic,Serbia,SRB,2538,1,2011-03-21,0,3,2629
2,Rafael Nadal,Spain,ESP,2516,1,2008-06-16,0,0,2552
3,Andy Murray,United Kingdom,GBR,2366,2,2009-04-19,0,0,2500
4,Roger Federer,Switzerland,SUI,2313,1,2003-08-11,0,0,2550
5,Juan Martin Del Potro,Argentina,ARG,2305,3,2010-06-07,0,0,2331
6,David Ferrer,Spain,ESP,2220,4,2007-11-19,0,0,2348
7,Tomas Berdych,Czech Republic,CZE,2201,5,2007-07-09,0,-2,2263
8,Stan Wawrinka,Switzerland,SUI,2201,5,2014-02-17,0,0,2291
9,Jo Wilfried Tsonga,France,FRA,2174,6,2009-03-02,0,0,2244
10,Richard Gasquet,France,FRA,2147,9,2007-10-08,0,0,2196
11,Milos Raonic,Canada,CAN,2132,5,2016-07-11,0,0,2269
12,Tommy Haas,Germany,GER,2114,2,2002-01-28,0,0,2189
13,Marin Cilic,Croatia,CRO,2100,6,2014-09-08,0,0,2232
14,Mikhail Youzhny,Russian Federation,RUS,2099,9,2007-06-11,0,0,2122
15,John Isner,United States,USA,2083,10,2012-04-13,0,0,2147
16,Nicolas Almagro,Spain,ESP,2072,9,2012-07-23,0,0,2160
17,Kei Nishikori,Japan,JPN,2070,4,2016-09-12,0,0,2296
18,Tommy Robredo,Spain,ESP,2065,10,2006-05-22,0,0,2107
19,Mardy Fish,United States,USA,2063,9,2011-08-21,0,0,2169
20,Gael Monfils,France,FRA,2049,7,2010-11-28,0,0,2189
21,Grigor Dimitrov,Bulgaria,BUL,2048,6,2018-01-29,0,0,2203
22,Gilles Simon,France,FRA,2038,9,2009-01-11,0,0,2124
23,Ernests Gulbis,Latvia,LAT,2034,10,2014-06-09,0,0,2167
24,Philipp Kohlschreiber,Germany,GER,2031,14,2016-05-02,0,0,2117
25,Fabio Fognini,Italy,ITA,2028,14,2014-04-11,0,0,2112
26,Feliciano Lopez,Spain,ESP,2019,16,2014-10-12,0,0,2074
27,David Nalbandian,Argentina,ARG,2014,3,2006-05-22,0,0,2196
28,Fernando Verdasco,Spain,ESP,2005,7,2009-05-04,0,0,2204
29,Marcel Granollers,Spain,ESP,2004,29,2013-11-04,0,0,2004
30,Kevin Anderson,South Africa,RSA,2004,6,2019-04-15,0,0,2181
31,Ivan Dodig,Croatia,CRO,2003,27,2013-10-07,0,0,2021
32,Sam Querrey,United States,USA,2002,18,2013-04-21,0,0,2068
33,Jerzy Janowicz,Poland,POL,2001,25,2014-02-17,0,0,2027
34,Lleyton Hewitt,Australia,AUS,1998,1,2001-10-15,0,0,2295
35,Florian Mayer,Germany,GER,1981,22,2011-11-14,0,0,2044
36,Julien Benneteau,France,FRA,1974,25,2013-02-18,0,0,2027
37,Nicolas Mahut,France,FRA,1970,35,2016-10-10,0,0,1970
38,Radek Stepanek,Czech Republic,CZE,1969,10,2009-11-29,0,2,2136
39,Juan Monaco,Argentina,ARG,1962,12,2012-07-23,0,0,2125
40,Andreas Seppi,Italy,ITA,1960,21,2015-08-03,0,0,2030
41,Dmitry Tursunov,Russian Federation,RUS,1951,20,2006-10-02,0,0,2042
42,Viktor Troicki,Serbia,SRB,1946,15,2011-04-03,0,-1,2091
43,Nikolay Davydenko,Russian Federation,RUS,1945,5,2008-04-21,0,0,2291
44,Janko Tipsarevic,Serbia,SRB,1941,9,2012-08-13,0,0,2158
45,Michael Llodra,France,FRA,1940,31,2011-04-03,0,0,2012
46,Carlos Berlocq,Argentina,ARG,1939,33,2014-06-09,0,0,1966
47,Alexandr Dolgopolov,Ukraine,UKR,1934,22,2014-04-14,0,0,2057
48,Marcos Baghdatis,Cyprus,CYP,1933,9,2007-08-20,0,0,2098
49,Ivo Karlovic,Croatia,CRO,1931,17,2007-11-04,0,0,2061
50,Bernard Tomic,Australia,AUS,1931,21,2015-03-23,0,0,2037
51,Robin Haase,Netherlands,NED,1928,44,2011-09-26,0,0,1946
