rank,name,country_name,country_id,points,bestRank,bestRankDate,rankDiff,pointsDiff,bestPoints
1,Rafael Nadal,Spain,ESP,2409,1,2008-06-16,0,0,2552
2,Novak Djokovic,Serbia,SRB,2396,1,2011-03-21,0,0,2629
3,Roger Federer,Switzerland,SUI,2384,1,2003-08-11,0,0,2550
4,Juan Martin Del Potro,Argentina,ARG,2286,3,2010-06-07,0,0,2331
5,Andy Murray,United Kingdom,GBR,2255,2,2009-04-19,0,-9,2500
6,Marin Cilic,Croatia,CRO,2185,6,2014-09-08,0,0,2232
7,Kei Nishikori,Japan,JPN,2174,4,2016-09-12,0,0,2296
8,Alexander Zverev,Germany,GER,2166,4,2021-08-22,0,0,2261
9,Dominic Thiem,Austria,AUT,2156,4,2020-02-03,0,0,2250
10,Milos Raonic,Canada,CAN,2151,5,2016-07-11,0,0,2269
11,David Goffin,Belgium,BEL,2129,8,2018-05-21,0,-6,2165
12,Kevin Anderson,South Africa,RSA,2124,6,2019-04-15,0,0,2181
13,Nick Kyrgios,Australia,AUS,2123,10,2017-04-14,0,0,2176
14,Stan Wawrinka,Switzerland,SUI,2108,5,2014-02-17,0,0,2291
15,Grigor Dimitrov,Bulgaria,BUL,2106,6,2018-01-29,0,0,2203
16,John Isner,United States,USA,2093,10,2012-04-13,0,0,2147
17,Jo Wilfried Tsonga,France,FRA,2091,6,2009-03-02,0,0,2244
18,Tomas Berdych,Czech Republic,CZE,2057,5,2007-07-09,1,0,2263
19,Borna Coric,Croatia,CRO,2052,13,2019-01-07,-1,-13,2102
20,Karen Khachanov,Russian Federation,RUS,2050,10,2019-02-08,0,0,2137
21,Fabio Fognini,Italy,ITA,2043,14,2014-04-11,0,-1,2112
22,Roberto Bautista Agut,Spain,ESP,2033,9,2019-07-15,1,0,2135
23,Gael Monfils,France,FRA,2029,7,2010-11-28,-1,-15,2189
24,Diego Sebastian Schwartzman,Argentina,ARG,2021,11,2020-11-02,0,0,2097
25,Richard Gasquet,France,FRA,2008,9,2007-10-08,1,0,2196
26,Martin Klizan,Slovakia,SVK,1998,26,2018-10-01,2,0,1998
27,Philipp Kohlschreiber,Germany,GER,1996,14,2016-05-02,2,0,2117
28,Hyeon Chung,"Korea, Republic of",KOR,1996,21,2018-04-02,-3,-14,2049
29,Stefanos Tsitsipas,Greece,GRE,1993,4,2021-06-13,-2,-11,2258
30,Pablo Carreno Busta,Spain,ESP,1989,10,2021-07-31,1,0,2121
31,Fernando Verdasco,Spain,ESP,1987,7,2009-05-04,5,13,2204
32,Daniil Medvedev,Russian Federation,RUS,1987,3,2021-09-13,0,0,2289
33,Kyle Edmund,United Kingdom,GBR,1985,24,2018-08-06,0,0,2038
34,Denis Shapovalov,Canada,CAN,1981,15,2021-07-12,-4,-8,2075
35,Lucas Pouille,France,FRA,1978,20,2016-09-26,-1,0,2069
36,Alexandr Dolgopolov,Ukraine,UKR,1975,22,2014-04-14,-1,0,2057
37,Gilles Simon,France,FRA,1971,9,2009-01-11,0,0,2124
38,Steve Johnson,United States,USA,1969,21,2017-04-17,0,0,2042
39,Sam Querrey,United States,USA,1968,18,2013-04-21,0,4,2068
40,John Millman,Australia,AUS,1954,38,2018-09-10,0,0,1954
41,Feliciano Lopez,Spain,ESP,1944,16,2014-10-12,0,0,2074
42,Benoit Paire,France,FRA,1942,25,2016-01-11,0,0,2003
43,Jeremy Chardy,France,FRA,1936,23,2015-09-14,0,0,2016
44,Leonardo Mayer,Argentina,ARG,1931,28,2014-08-11,1,0,1999
45,Frances Tiafoe,United States,USA,1925,35,2021-10-04,1,0,1972
46,Pierre Hugues Herbert,France,FRA,1923,32,2019-06-24,21,31,1989
47,Yoshihito Nishioka,Japan,JPN,1922,33,2020-02-24,38,63,1977
48,Dusan Lajovic,Serbia,SRB,1921,35,2019-04-22,-4,-11,1962
49,Alex De Minaur,Australia,AUS,1917,18,2021-01-12,6,11,2061
50,Julien Benneteau,France,FRA,1917,25,2013-02-18,-1,0,2027
51,Robin Haase,Netherlands,NED,1917,44,2011-09-26,-1,0,1946
52,Pablo Cuevas,Uruguay,URU,1916,26,2016-05-09,-1,0,2004
53,Taylor Harry Fritz,United States,USA,1913,29,2019-08-05,9,18,1999
54,Nikoloz Basilashvili,Georgia,GEO,1912,30,2019-01-07,-7,-8,1990
55,Jan Lennard Struff,Germany,GER,1912,24,2020-09-14,-2,0,2037
56,Adrian Mannarino,France,FRA,1909,29,2018-01-15,-8,-11,2004
57,Guido Pella,Argentina,ARG,1906,29,2019-08-12,-5,-8,2009
58,Damir Dzumhur,Bosnia and Herzegovina,BIH,1904,32,2017-10-02,-4,-4,1994
59,Ernests Gulbis,Latvia,LAT,1904,10,2014-06-09,-3,0,2167
60,Marco Cecchinato,Italy,ITA,1900,39,2018-07-23,-2,0,1953
61,Ryan Harrison,United States,USA,1898,38,2017-02-27,-2,0,1953
62,Nicolas Jarry,Chile,CHI,1896,45,2019-07-22,-2,0,1939
63,Jack Sock,United States,USA,1896,13,2017-03-20,-2,0,2144
64,Bernard Tomic,Australia,AUS,1894,21,2015-03-23,33,60,2037
65,Peter Gojowczyk,Germany,GER,1893,44,2018-02-26,-1,0,1935
66,David Ferrer,Spain,ESP,1893,4,2007-11-19,-1,0,2348
67,Joao Sousa,Portugal,POR,1893,32,2016-02-01,10,12,1974
68,Steve Darcis,Belgium,BEL,1892,41,2017-04-14,-2,-1,1950
69,Marton Fucsovics,Hungary,HUN,1885,21,2021-04-04,1,0,2018
70,Mikhail Kukushkin,Kazakhstan,KAZ,1885,41,2019-02-25,-1,-1,1943
